fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	2	1	2013-12-02 1	  1 people slightly injured at  CHAMBLY / GAUTHIER 2013-12-02 15:30	people slightly injured	1
#FEE0D2	4	1	2013-12-04 1	  1 people slightly injured at  32E / N-D 2013-12-04 12:45	people slightly injured	1
#FEE0D2	4	2	2013-12-04 2	  1 people slightly injured at  QUEEN / 13E AV 2013-12-04 12:54	people slightly injured	1
#FEE0D2	5	1	2013-12-05 1	  1 people slightly injured at  MAISONNEUVE E / ST DENIS 2013-12-05 8:25	people slightly injured	1
#FEE0D2	5	2	2013-12-05 2	  1 people slightly injured at  N-D / MC GILL 2013-12-05 12:20	people slightly injured	1
#FEE0D2	5	3	2013-12-05 3	  1 people slightly injured at  MILTON / AYLMER 2013-12-05 11:46	people slightly injured	1
#FEE0D2	5	4	2013-12-05 4	  1 people slightly injured at  PRINCIPALE S / MARSAN 2013-12-05 21:00	people slightly injured	1
#FEE0D2	6	1	2013-12-06 1	  1 people slightly injured at 1717 BERRI OPP /  2013-12-06 18:38	people slightly injured	1
#FEE0D2	6	2	2013-12-06 2	  1 people slightly injured at  BERRI / CHERRIER 2013-12-06 23:30	people slightly injured	1
#FEE0D2	6	3	2013-12-06 3	  1 people slightly injured at   / CH CHAMBLY ET MAURIAT 2013-12-06 19:02	people slightly injured	1
#FEE0D2	10	1	2013-12-10 1	  1 people slightly injured at  ST LAURENT / VILLENEUVE O 2013-12-10 14:36	people slightly injured	1
#FEE0D2	11	1	2013-12-11 1	  1 people slightly injured at   / ST LOUIS ET SAVOIE 2013-12-11 7:00	people slightly injured	1
#FEE0D2	16	1	2013-12-16 1	  1 people slightly injured at 1261 RG 3 / RTE 169 2013-12-16 5:35	people slightly injured	1
#FB6A4A	19	1	2013-12-19 1	 1 person severely injured, 0 people slightly injured at 74 BD DU HAVRE /  2013-12-19 17:58	people severely injured	1
#FEE0D2	27	1	2013-12-27 1	  1 people slightly injured at  COUSINS / CHAUSSEE 2013-12-27 17:35	people slightly injured	1
