fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	5	1	2013-02-05 1	  1 people slightly injured at  PELLETIER / ST GEORGES 2013-02-05 15:53	people slightly injured	1
#FEE0D2	7	1	2013-02-07 1	  1 people slightly injured at 95 BD LABELLE /  2013-02-07 14:14	people slightly injured	1
#A50F15	9	1	2013-02-09 1	1 death,  0 people slightly injured at  JOLIETTE / DESAULNIERS 2013-02-09 13:30	deaths	1
#FEE0D2	15	1	2013-02-15 1	  1 people slightly injured at 282 ST VIATEUR FACE AU / AV DU PARC 2013-02-15 16:15	people slightly injured	1
#FEE0D2	16	1	2013-02-16 1	  1 people slightly injured at  ATWATER / RUFUS ROCKHEAD 2013-02-16 8:50	people slightly injured	1
#FEE0D2	18	1	2013-02-18 1	  2 people slightly injured at  BD INDUSTRIEL / GAUDETTE 2013-02-18 21:30	people slightly injured	1
#FB6A4A	18	2	2013-02-18 2	 1 person severely injured, 0 people slightly injured at  RENE LEVESQUE / ROYAUME 2013-02-18 7:03	people severely injured	1
#FEE0D2	19	1	2013-02-19 1	  1 people slightly injured at 1371 GDE AL /  2013-02-19 8:00	people slightly injured	1
#FEE0D2	20	1	2013-02-20 1	  1 people slightly injured at  AV DU CENTENAIRE / DUFFERIN 2013-02-20 12:40	people slightly injured	1
#FEE0D2	25	1	2013-02-25 1	  1 people slightly injured at 180 SALABERRY / ACADEMIE 2013-02-25 18:43	people slightly injured	1
#FEE0D2	27	1	2013-02-27 1	  1 people slightly injured at  ROY / COLONIALE 2013-02-27 16:35	people slightly injured	1
#FEE0D2	27	2	2013-02-27 2	  1 people slightly injured at  CURE LABELLE / AUT DES LAURENTIDES 2013-02-27 7:34	people slightly injured	1
#FEE0D2	27	3	2013-02-27 3	  1 people slightly injured at  L AQUEDUC / FRANKLIN 2013-02-27 8:43	people slightly injured	1
