fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2013-08-01 1	  1 people slightly injured at  BOCAGE / DE RIVOLI 2013-08-01 11:50	people slightly injured	1
#FEE0D2	1	2	2013-08-01 2	  1 people slightly injured at  ONTARIO / FULLUM 2013-08-01 14:06	people slightly injured	1
#FEE0D2	1	3	2013-08-01 3	  1 people slightly injured at  FABRE / BELANGER 2013-08-01 18:30	people slightly injured	1
#FEE0D2	1	4	2013-08-01 4	  1 people slightly injured at 2950 ST CHARLES / EN FACE 2013-08-01 1:20	people slightly injured	1
#FEE0D2	1	5	2013-08-01 5	  1 people slightly injured at   / CURE POIRIER O ET BREBEUF 2013-08-01 21:40	people slightly injured	1
#FEE0D2	1	6	2013-08-01 6	  1 people slightly injured at   / 3E RG ET RTE 104 2013-08-01 11:23	people slightly injured	1
#FEE0D2	1	7	2013-08-01 7	  1 people slightly injured at 1111 AV DU PORT / STAT 2013-08-01 19:53	people slightly injured	1
#FEE0D2	1	8	2013-08-01 8	  1 people slightly injured at  BD MASSON / PERE LELIEVRE 2013-08-01 17:30	people slightly injured	1
#FEE0D2	1	9	2013-08-01 9	  1 people slightly injured at  6E AV / 25E RUE 2013-08-01 10:30	people slightly injured	1
#FEE0D2	1	10	2013-08-01 10	  1 people slightly injured at  DES GD DUCS / BD LEMIRE 2013-08-01 14:45	people slightly injured	1
#FEE0D2	2	1	2013-08-02 1	  1 people slightly injured at  RENE-LEVESQUE / STANLEY 2013-08-02 3:15	people slightly injured	1
#FEE0D2	2	2	2013-08-02 2	  1 people slightly injured at 74 FAIRMOUNT / ST URBAIN 2013-08-02 11:25	people slightly injured	1
#FEE0D2	2	3	2013-08-02 3	  1 people slightly injured at 975 BD TASCHEREAU / STAT DU IGA 2013-08-02 8:44	people slightly injured	1
#FEE0D2	2	4	2013-08-02 4	  1 people slightly injured at  ST DOMINIQUE / MGR BEGIN 2013-08-02 15:42	people slightly injured	1
#FEE0D2	2	5	2013-08-02 5	  1 people slightly injured at   / RTE 344 2013-08-02 10:13	people slightly injured	1
#FEE0D2	2	6	2013-08-02 6	  1 people slightly injured at  ST JEAN / D YOUVILLE 2013-08-02 13:10	people slightly injured	1
#FEE0D2	2	7	2013-08-02 7	  1 people slightly injured at  PRINCIPALE E / BIBEAU 2013-08-02 17:50	people slightly injured	1
#FEE0D2	2	8	2013-08-02 8	  1 people slightly injured at  MAISONNEUVE / LAURE 2013-08-02 8:45	people slightly injured	1
#FEE0D2	2	9	2013-08-02 9	  1 people slightly injured at  DES TOURELLES / BD INDUSTRIEL RTE 343 2013-08-02 16:06	people slightly injured	1
#FEE0D2	2	10	2013-08-02 10	  1 people slightly injured at  DU PAQUEBOT / DE LA GOELETTE 2013-08-02 19:00	people slightly injured	1
#FB6A4A	2	11	2013-08-02 11	 1 person severely injured, 0 people slightly injured at 94 PRINCIPALE S FACE / 10E AV E 2013-08-02 14:00	people severely injured	1
#FEE0D2	3	1	2013-08-03 1	  1 people slightly injured at 7890 PAPINEAU / TILLEMONT 2013-08-03 16:05	people slightly injured	1
#FEE0D2	3	2	2013-08-03 2	  1 people slightly injured at  MASSON / 2E AV 2013-08-03 13:40	people slightly injured	1
#FEE0D2	3	3	2013-08-03 3	  1 people slightly injured at  DE LA COMMUNE / ROYALE 2013-08-03 10:57	people slightly injured	1
#FEE0D2	3	4	2013-08-03 4	  1 people slightly injured at 483 TESSIER / GOUIN 2013-08-03 19:50	people slightly injured	1
#FEE0D2	4	1	2013-08-04 1	  1 people slightly injured at  RACHEL E / BOYER 2013-08-04 21:13	people slightly injured	1
#FEE0D2	4	2	2013-08-04 2	  1 people slightly injured at   / BENOIT E ET LAVALLEE 2013-08-04 18:10	people slightly injured	1
#FEE0D2	4	3	2013-08-04 3	  1 people slightly injured at 789 YVON L HEUREUX N /  2013-08-04 18:50	people slightly injured	1
#FEE0D2	4	4	2013-08-04 4	  1 people slightly injured at   / DES COMMISSAIRES 2013-08-04 21:30	people slightly injured	1
#FEE0D2	4	5	2013-08-04 5	  1 people slightly injured at 1310 RG 4 /  2013-08-04 17:18	people slightly injured	1
#FEE0D2	4	6	2013-08-04 6	  1 people slightly injured at 70 HARWOOD / ALLEN 2013-08-04 16:10	people slightly injured	1
#FEE0D2	5	1	2013-08-05 1	  1 people slightly injured at  VERDUN / MANNING 2013-08-05 20:57	people slightly injured	1
#FEE0D2	5	2	2013-08-05 2	  1 people slightly injured at  ESPLANADE / DE LIEGE 2013-08-05 17:00	people slightly injured	1
#FEE0D2	5	3	2013-08-05 3	  1 people slightly injured at  N-D / BD BRIEN 2013-08-05 12:30	people slightly injured	1
#FEE0D2	5	4	2013-08-05 4	  1 people slightly injured at 3400 CHAUVEAU / PARC CHAUVEAU 2013-08-05 14:25	people slightly injured	1
#FEE0D2	5	5	2013-08-05 5	  1 people slightly injured at  BD LAURIER O / BOULLE 2013-08-05 20:17	people slightly injured	1
#FEE0D2	5	6	2013-08-05 6	  1 people slightly injured at  DES PINS / DES MARGUERITES 2013-08-05 19:35	people slightly injured	1
#FEE0D2	5	7	2013-08-05 7	  1 people slightly injured at 1110 BD SACRE COEUR /  2013-08-05 15:30	people slightly injured	1
#FEE0D2	6	1	2013-08-06 1	  1 people slightly injured at  N-D / 15E AV 2013-08-06 17:35	people slightly injured	1
#FEE0D2	6	2	2013-08-06 2	  1 people slightly injured at  RENE LEVESQUE O / ST MATHIEU 2013-08-06 16:35	people slightly injured	1
#FEE0D2	6	3	2013-08-06 3	  1 people slightly injured at  TRANS ISLAND / PLAMONDON 2013-08-06 18:48	people slightly injured	1
#FEE0D2	6	4	2013-08-06 4	  1 people slightly injured at  CHRISTOPHE COLOMB / JARRY E 2013-08-06 20:20	people slightly injured	1
#FEE0D2	6	5	2013-08-06 5	  1 people slightly injured at  BELANGER / ST LAURENT 2013-08-06 17:00	people slightly injured	1
#FEE0D2	6	6	2013-08-06 6	  1 people slightly injured at 193 FUSEY / FACE A 2013-08-06 16:05	people slightly injured	1
#FEE0D2	6	7	2013-08-06 7	  1 people slightly injured at  BD LAURIER / CH STE CLAIRE 2013-08-06 17:00	people slightly injured	1
#FEE0D2	6	8	2013-08-06 8	  1 people slightly injured at  MTE REGAN / PISTE PTIT TRAIN DU NORD 2013-08-06 14:45	people slightly injured	1
#FEE0D2	6	9	2013-08-06 9	  1 people slightly injured at 2 ST BENOIS O /  2013-08-06 8:20	people slightly injured	1
#FEE0D2	6	10	2013-08-06 10	  1 people slightly injured at  RG ST BENOIT /  2013-08-06 7:00	people slightly injured	1
#FEE0D2	6	11	2013-08-06 11	  1 people slightly injured at  CH DU VILLAGE / GROULX 2013-08-06 15:24	people slightly injured	1
#FB6A4A	6	12	2013-08-06 12	 1 person severely injured, 0 people slightly injured at  COUSINEAU / AV GDE ILE 2013-08-06 17:01	people severely injured	1
#A50F15	6	13	2013-08-06 13	1 death,  0 people slightly injured at 943 MARIE VICTORIN / CHICOINE LAROSE 2013-08-06 12:40	deaths	1
#FEE0D2	7	1	2013-08-07 1	  1 people slightly injured at 3453 PEEL / SHERBROOKE O 2013-08-07 16:00	people slightly injured	1
#FEE0D2	7	2	2013-08-07 2	  1 people slightly injured at  PRIEUR / GARNIER 2013-08-07 15:24	people slightly injured	1
#FEE0D2	7	3	2013-08-07 3	  1 people slightly injured at  RACHEL / DE LA ROCHE 2013-08-07 18:05	people slightly injured	1
#FEE0D2	7	4	2013-08-07 4	  1 people slightly injured at  RACHEL / PAPINEAU 2013-08-07 19:21	people slightly injured	1
#FEE0D2	7	5	2013-08-07 5	  1 people slightly injured at  RACHEL / ST DOMINIQUE 2013-08-07 21:05	people slightly injured	1
#FEE0D2	7	6	2013-08-07 6	  1 people slightly injured at  BD STE ROSE O / 4E AV 2013-08-07 7:54	people slightly injured	1
#FEE0D2	7	7	2013-08-07 7	  1 people slightly injured at  BD STE ROSE / BAS DU PLATEAU OUIMET 2013-08-07 9:00	people slightly injured	1
#FEE0D2	7	8	2013-08-07 8	  1 people slightly injured at 765 DE L EGLISE / 5E RUE 2013-08-07 12:55	people slightly injured	1
#FEE0D2	7	9	2013-08-07 9	  1 people slightly injured at  KIMBER / HILLCREST 2013-08-07 16:20	people slightly injured	1
#FEE0D2	7	10	2013-08-07 10	  1 people slightly injured at  VIOLETTE / DES TULIPES 2013-08-07 7:05	people slightly injured	1
#FEE0D2	7	11	2013-08-07 11	  1 people slightly injured at 1972 RG STE MARIE / ISABELLA 2013-08-07 18:57	people slightly injured	1
#FEE0D2	7	12	2013-08-07 12	  1 people slightly injured at  ST PHILIPPE / 2E AV 2013-08-07 18:00	people slightly injured	1
#FEE0D2	7	13	2013-08-07 13	  1 people slightly injured at  DE BIGARRE / DE L ERMITAGE 2013-08-07 21:40	people slightly injured	1
#FB6A4A	7	14	2013-08-07 14	 1 person severely injured, 0 people slightly injured at   / BELVEDERE ET PERE MARQUETTE 2013-08-07 5:42	people severely injured	1
#FEE0D2	8	1	2013-08-08 1	  1 people slightly injured at 6801 GOUIN E /  2013-08-08 15:43	people slightly injured	1
#FEE0D2	8	2	2013-08-08 2	  1 people slightly injured at 1300 BD RIVE S /  2013-08-08 17:11	people slightly injured	1
#FEE0D2	8	3	2013-08-08 3	  1 people slightly injured at   / LAPINIERE ET ALCIDE 2013-08-08 9:00	people slightly injured	1
#FEE0D2	8	4	2013-08-08 4	  1 people slightly injured at  DE LESTRES / VERSANT N 2013-08-08 21:50	people slightly injured	1
#FB6A4A	8	5	2013-08-08 5	 1 person severely injured, 0 people slightly injured at   / ST JEAN ET LABROSSE 2013-08-08 11:50	people severely injured	1
#FEE0D2	9	1	2013-08-09 1	  1 people slightly injured at  ST URBAIN / PRES KENNEDY 2013-08-09 13:20	people slightly injured	1
#FEE0D2	9	2	2013-08-09 2	  1 people slightly injured at  IBERVILLE / BEAUBIEN 2013-08-09 5:00	people slightly injured	1
#FEE0D2	9	3	2013-08-09 3	  1 people slightly injured at  BD ROSEMONT / 17E AV 2013-08-09 10:12	people slightly injured	1
#FEE0D2	9	4	2013-08-09 4	  1 people slightly injured at  ARMAND BOMBARDIER / JACQUES ROUSSEAU 2013-08-09 18:35	people slightly injured	1
