colour	x	y	label	key	clickSelects	showSelected1	showSelected2	PANEL	group
#0591F5	9	5068	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	September 2011	2	160
#0591F5	11	3876	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	October 2011	2	161
#0591F5	2	2971	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	November 2011	2	162
#FC9D31	13	989	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	January 2011	2	202
#FC9D31	18	1018	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	February 2011	2	203
#FC9D31	31	2167	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	March 2011	2	204
#FC9D31	29	4240	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	April 2011	2	205
#FC9D31	31	8697	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	May 2011	2	206
#FC9D31	7	8832	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	June 2011	2	207
#FC9D31	5	8470	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	July 2011	2	208
#FC9D31	31	8048	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	August 2011	2	209
#FC9D31	8	8683	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	September 2011	2	210
#FC9D31	5	6530	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	October 2011	2	211
#FC9D31	2	5158	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	November 2011	2	212
#FB8072	13	766	du Parc	du Parc	du Parc	du Parc	January 2011	2	103
#FB8072	18	729	du Parc	du Parc	du Parc	du Parc	February 2011	2	104
#FB8072	31	1521	du Parc	du Parc	du Parc	du Parc	March 2011	2	105
#FB8072	12	2448	du Parc	du Parc	du Parc	du Parc	April 2011	2	106
#FB8072	31	4611	du Parc	du Parc	du Parc	du Parc	May 2011	2	107
#FB8072	16	4837	du Parc	du Parc	du Parc	du Parc	June 2011	2	108
#FB8072	19	4463	du Parc	du Parc	du Parc	du Parc	July 2011	2	109
#FB8072	31	4557	du Parc	du Parc	du Parc	du Parc	August 2011	2	110
#FB8072	27	5077	du Parc	du Parc	du Parc	du Parc	September 2011	2	111
#FB8072	11	4207	du Parc	du Parc	du Parc	du Parc	October 2011	2	112
#FB8072	2	3443	du Parc	du Parc	du Parc	du Parc	November 2011	2	113
#93DF10	2	506	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	January 2011	2	236
#93DF10	1	503	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	February 2011	2	237
#93DF10	17	520	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	March 2011	2	238
#93DF10	30	2681	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	April 2011	2	239
#93DF10	31	3473	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	May 2011	2	240
#93DF10	19	4362	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	June 2011	2	241
#93DF10	2	4544	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	July 2011	2	242
#93DF10	13	3923	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	August 2011	2	243
#93DF10	11	3460	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	September 2011	2	244
#93DF10	10	3172	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	October 2011	2	245
#93DF10	2	1071	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	November 2011	2	246
#F58AC1	13	769	Rachel	Rachel	Rachel	Rachel	January 2011	2	270
#F58AC1	24	795	Rachel	Rachel	Rachel	Rachel	February 2011	2	271
#F58AC1	30	1616	Rachel	Rachel	Rachel	Rachel	March 2011	2	272
#F58AC1	30	4442	Rachel	Rachel	Rachel	Rachel	April 2011	2	273
#F58AC1	25	5764	Rachel	Rachel	Rachel	Rachel	May 2011	2	274
#F58AC1	3	8015	Rachel	Rachel	Rachel	Rachel	June 2011	2	275
#F58AC1	4	6538	Rachel	Rachel	Rachel	Rachel	July 2011	2	276
#F58AC1	31	6436	Rachel	Rachel	Rachel	Rachel	August 2011	2	277
#F58AC1	9	6362	Rachel	Rachel	Rachel	Rachel	September 2011	2	278
#F58AC1	1	2100	Rachel	Rachel	Rachel	Rachel	October 2011	2	279
#32D6BA	10	897	Berri	Berri	Berri	Berri	January 2012	2	35
#32D6BA	21	941	Berri	Berri	Berri	Berri	February 2012	2	36
#32D6BA	21	3329	Berri	Berri	Berri	Berri	March 2012	2	37
#32D6BA	19	4731	Berri	Berri	Berri	Berri	April 2012	2	38
#32D6BA	24	6985	Berri	Berri	Berri	Berri	May 2012	2	39
#32D6BA	15	7577	Berri	Berri	Berri	Berri	June 2012	2	40
#32D6BA	3	7212	Berri	Berri	Berri	Berri	July 2012	2	41
#32D6BA	22	7029	Berri	Berri	Berri	Berri	August 2012	2	42
#32D6BA	13	7020	Berri	Berri	Berri	Berri	September 2012	2	43
#32D6BA	2	5639	Berri	Berri	Berri	Berri	October 2012	2	44
#32D6BA	1	2905	Berri	Berri	Berri	Berri	November 2012	2	45
#A799FF	23	506	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	January 2012	2	80
#A799FF	22	510	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	February 2012	2	81
