fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2012-04-01 1	  1 people slightly injured at  HENRI JULIEN / GILFORD 2012-04-01 3:00	people slightly injured	1
#FEE0D2	1	2	2012-04-01 2	  1 people slightly injured at 12260 1RE AV /  2012-04-01 12:00	people slightly injured	1
#FEE0D2	1	3	2012-04-01 3	  1 people slightly injured at  GINCE / MASSE 2012-04-01 15:15	people slightly injured	1
#FEE0D2	3	1	2012-04-03 1	  1 people slightly injured at 4000 ST DENIS / PRES DE ROY 2012-04-03 17:25	people slightly injured	1
#FEE0D2	3	2	2012-04-03 2	  1 people slightly injured at  PATRICK FARRAR / SAMUEL HATT 2012-04-03 6:30	people slightly injured	1
#FEE0D2	3	3	2012-04-03 3	  1 people slightly injured at  BD DES SEIGNEURS / DE CLORIDAN 2012-04-03 16:45	people slightly injured	1
#FEE0D2	3	4	2012-04-03 4	  1 people slightly injured at 230 DU PONT /  2012-04-03 14:33	people slightly injured	1
#FEE0D2	3	5	2012-04-03 5	  1 people slightly injured at 1625 RTE MARIE VICTORIN /  2012-04-03 7:00	people slightly injured	1
#FEE0D2	4	1	2012-04-04 1	  1 people slightly injured at 209 LAURIER E / HOTEL DE VILLE 2012-04-04 10:33	people slightly injured	1
#FEE0D2	4	2	2012-04-04 2	  1 people slightly injured at   / 116 ROBERT 2012-04-04 21:28	people slightly injured	1
#FEE0D2	4	3	2012-04-04 3	  1 people slightly injured at  VILLENEUVE / KARYN 2012-04-04 14:45	people slightly injured	1
#FEE0D2	5	1	2012-04-05 1	  1 people slightly injured at  ATWATER / DE MAISONNEUVE O 2012-04-05 13:10	people slightly injured	1
#FEE0D2	5	2	2012-04-05 2	  1 people slightly injured at  DE CHAMPLAIN / FONTAINE 2012-04-05 13:25	people slightly injured	1
#FEE0D2	5	3	2012-04-05 3	  1 people slightly injured at  CHRISTOPHE COLOMB / EMILE JOURNAULT 2012-04-05 16:38	people slightly injured	1
#FEE0D2	5	4	2012-04-05 4	  1 people slightly injured at 8930 PIE IX /  2012-04-05 17:25	people slightly injured	1
#FEE0D2	5	5	2012-04-05 5	  1 people slightly injured at  ST JOSEPH / CHABOT 2012-04-05 17:25	people slightly injured	1
#FEE0D2	5	6	2012-04-05 6	  1 people slightly injured at  RACHEL / CLARK 2012-04-05 16:56	people slightly injured	1
#FEE0D2	6	1	2012-04-06 1	  1 people slightly injured at 63 DE CAZAUX /  2012-04-06 11:10	people slightly injured	1
