fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2014-11-01 1	  1 people slightly injured at  MAISONNEUVE DE / DE LORIMIER 2014-11-01 5:00	people slightly injured	1
#FEE0D2	1	2	2014-11-01 2	  1 people slightly injured at 3 LORNE / ELISABETH 2014-11-01 19:12	people slightly injured	1
#FEE0D2	2	1	2014-11-02 1	  1 people slightly injured at 362  /  2014-11-02 11:30	people slightly injured	1
#FEE0D2	2	2	2014-11-02 2	  1 people slightly injured at 316 PETITE NORAIE /  2014-11-02 15:32	people slightly injured	1
#FEE0D2	3	1	2014-11-03 1	  1 people slightly injured at  ST VIATEUR / BLOOMFIELD 2014-11-03 18:50	people slightly injured	1
#FEE0D2	3	2	2014-11-03 2	  1 people slightly injured at  RUE JEAN RIVARD / 14E AV 2014-11-03 0:10	people slightly injured	1
#FEE0D2	3	3	2014-11-03 3	  1 people slightly injured at  HENRI JULIEN / GOUNOD 2014-11-03 20:01	people slightly injured	1
#FEE0D2	3	4	2014-11-03 4	  1 people slightly injured at  PAUL MAINGUY / ERNEST BOURQUE 2014-11-03 17:26	people slightly injured	1
#FEE0D2	4	1	2014-11-04 1	  1 people slightly injured at  ST JACQUES / ST JOSEPH BD 2014-11-04 15:25	people slightly injured	1
#FEE0D2	4	2	2014-11-04 2	  1 people slightly injured at  RODOLPHE FORGET / LOUIS DESSAULLES 2014-11-04 14:06	people slightly injured	1
#FEE0D2	4	3	2014-11-04 3	  1 people slightly injured at  LORETTE / LATREILLE 2014-11-04 19:31	people slightly injured	1
#FEE0D2	5	1	2014-11-05 1	  1 people slightly injured at  GRAHAM / DUNRAE 2014-11-05 7:58	people slightly injured	1
#FEE0D2	5	2	2014-11-05 2	  1 people slightly injured at  MT ROYAL / CHAMBLY 2014-11-05 17:55	people slightly injured	1
#FEE0D2	5	3	2014-11-05 3	  1 people slightly injured at  CH DE CHAMBLY / BRIGGS O 2014-11-05 8:10	people slightly injured	1
#FEE0D2	5	4	2014-11-05 4	  1 people slightly injured at   / HONORE MERCIER ET ST JEAN 2014-11-05 0:05	people slightly injured	1
#FEE0D2	5	5	2014-11-05 5	  1 people slightly injured at  BD LAFRAMBOISE / CASAVANT O 2014-11-05 16:42	people slightly injured	1
#FEE0D2	6	1	2014-11-06 1	  1 people slightly injured at   / BEAUDRY ET ONTARIO 2014-11-06 14:20	people slightly injured	1
