fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	2	1	2012-02-02 1	  1 people slightly injured at 941 ROSE DE LIMA H7E2S7 / CONCORDE 2012-02-02 16:05	people slightly injured	1
#FEE0D2	4	1	2012-02-04 1	  1 people slightly injured at  BD STE ANNE / 3E AV 2012-02-04 15:04	people slightly injured	1
#FEE0D2	6	1	2012-02-06 1	  1 people slightly injured at  SHERBOOKE / CITY COUNCILLORS 2012-02-06 12:19	people slightly injured	1
#FEE0D2	6	2	2012-02-06 2	  1 people slightly injured at 880 CORMIER / HAGGERTY 2012-02-06 12:12	people slightly injured	1
#FEE0D2	7	1	2012-02-07 1	  1 people slightly injured at  GIROUARD / N-D DE GRACE 2012-02-07 	people slightly injured	1
#FEE0D2	9	1	2012-02-09 1	  1 people slightly injured at  RENE LEVESQUE / UNIVERSITY 2012-02-09 14:15	people slightly injured	1
#FEE0D2	10	1	2012-02-10 1	  2 people slightly injured at 70 BD RENE LEVESQUE /  2012-02-10 11:05	people slightly injured	1
#FEE0D2	14	1	2012-02-14 1	  1 people slightly injured at 344 GDE COTE O / RENE RONDEAU 2012-02-14 20:25	people slightly injured	1
#FEE0D2	16	1	2012-02-16 1	  1 people slightly injured at 7110 BD BOURQUE /  2012-02-16 19:47	people slightly injured	1
#FEE0D2	17	1	2012-02-17 1	  1 people slightly injured at  COUSINEAU / ALEXANDRE 2012-02-17 23:30	people slightly injured	1
#FEE0D2	18	1	2012-02-18 1	  1 people slightly injured at 2290 BOURGOGNE / LAFONTAINE 2012-02-18 20:20	people slightly injured	1
#FEE0D2	21	1	2012-02-21 1	  1 people slightly injured at 120 JACQUES CARTIER E /  2012-02-21 10:49	people slightly injured	1
#FEE0D2	21	2	2012-02-21 2	  1 people slightly injured at  CHARTRAND / ST PIERRE 2012-02-21 6:00	people slightly injured	1
#FEE0D2	22	1	2012-02-22 1	  1 people slightly injured at  ST HUBERT / LEGENDRE 2012-02-22 16:19	people slightly injured	1
#FEE0D2	22	2	2012-02-22 2	  1 people slightly injured at  MELANCON / FILION 2012-02-22 19:04	people slightly injured	1
#FEE0D2	23	1	2012-02-23 1	  1 people slightly injured at  TASCHEREAU / AUGUSTE 2012-02-23 13:35	people slightly injured	1
#FEE0D2	23	2	2012-02-23 2	  1 people slightly injured at 199 BOIS FRANCS S / JUTRAS E 2012-02-23 11:31	people slightly injured	1
#FEE0D2	29	1	2012-02-29 1	  1 people slightly injured at  SHERBROOKE / PARTHENAIS 2012-02-29 13:00	people slightly injured	1
#FEE0D2	29	2	2012-02-29 2	  1 people slightly injured at   /  2012-02-29 19:53	people slightly injured	1
