fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2014-08-01 1	  1 people slightly injured at  CAVENDISH / MACKLE 2014-08-01 20:17	people slightly injured	1
#FEE0D2	1	2	2014-08-01 2	  1 people slightly injured at  OGILVY / ACADIE BD 2014-08-01 10:05	people slightly injured	1
#FEE0D2	1	3	2014-08-01 3	  1 people slightly injured at 791 BD SAMSON / PESANT 2014-08-01 12:29	people slightly injured	1
#FEE0D2	1	4	2014-08-01 4	  1 people slightly injured at  Q BOURG ET W PELLETIER /  2014-08-01 14:00	people slightly injured	1
#FEE0D2	1	5	2014-08-01 5	  1 people slightly injured at  STAT FOISY / ST JEAN BATISTE 2014-08-01 14:10	people slightly injured	1
#FEE0D2	1	6	2014-08-01 6	  1 people slightly injured at 520 PRINCIPALE / WATER 2014-08-01 10:15	people slightly injured	1
#FEE0D2	1	7	2014-08-01 7	  1 people slightly injured at 701 BD LAURE /  2014-08-01 14:00	people slightly injured	1
#FEE0D2	1	8	2014-08-01 8	  1 people slightly injured at  BD DU RIVAGE / 3E AV 2014-08-01 7:55	people slightly injured	1
#FEE0D2	2	1	2014-08-02 1	  1 people slightly injured at  ST CHARLES / GOUIN O 2014-08-02 19:07	people slightly injured	1
#FEE0D2	2	2	2014-08-02 2	  1 people slightly injured at  BD MI VALLON / PAVILLON 2014-08-02 14:31	people slightly injured	1
#FEE0D2	2	3	2014-08-02 3	  1 people slightly injured at  ST LOUIS / BD SEMINAIRE N 2014-08-02 16:38	people slightly injured	1
#FEE0D2	2	4	2014-08-02 4	  1 people slightly injured at  DE MONTIGNY / DURAND 2014-08-02 12:56	people slightly injured	1
#FEE0D2	3	1	2014-08-03 1	  1 people slightly injured at  DES CAGEUX / MELOCHE 2014-08-03 21:00	people slightly injured	1
#FEE0D2	3	2	2014-08-03 2	  1 people slightly injured at  RENE LEVESQUE / PAPINEAU 2014-08-03 19:00	people slightly injured	1
#FEE0D2	3	3	2014-08-03 3	  1 people slightly injured at  ST LAURENT / DES PINS 2014-08-03 3:50	people slightly injured	1
#FEE0D2	3	4	2014-08-03 4	  1 people slightly injured at 794 RIVERSIDE / CH BUNNSIDE 2014-08-03 11:31	people slightly injured	1
#FEE0D2	3	5	2014-08-03 5	  1 people slightly injured at  AV AUGUSTE / ADAM 2014-08-03 17:10	people slightly injured	1
#FEE0D2	3	6	2014-08-03 6	  1 people slightly injured at 2161  /  2014-08-03 2:02	people slightly injured	1
#FEE0D2	3	7	2014-08-03 7	  1 people slightly injured at   / BOULAY ET DALPE 2014-08-03 20:30	people slightly injured	1
#FEE0D2	3	8	2014-08-03 8	  1 people slightly injured at  DE L EGLISE / DU PONT 2014-08-03 12:32	people slightly injured	1
#FEE0D2	3	9	2014-08-03 9	  1 people slightly injured at 991 CH ST THOMAS /  2014-08-03 15:18	people slightly injured	1
#FEE0D2	4	1	2014-08-04 1	  1 people slightly injured at  ST ANTOINE / 27E AV 2014-08-04 17:09	people slightly injured	1
#FEE0D2	4	2	2014-08-04 2	  1 people slightly injured at 6935 N-D / LAVATERE 2014-08-04 8:30	people slightly injured	1
