fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2012-09-01 1	  1 people slightly injured at  SAMSON / DE L ELYSEE 2012-09-01 12:47	people slightly injured	1
#FEE0D2	1	2	2012-09-01 2	  1 people slightly injured at  PRINCIPALE / BANCROFT 2012-09-01 17:07	people slightly injured	1
#FEE0D2	1	3	2012-09-01 3	  1 people slightly injured at  MURRAY / PL MURRAY 2012-09-01 10:33	people slightly injured	1
#FEE0D2	1	4	2012-09-01 4	  1 people slightly injured at  CLAIREVUE O / MONTARVILLE 2012-09-01 22:05	people slightly injured	1
#FEE0D2	1	5	2012-09-01 5	  1 people slightly injured at 2292 MARIE VICTORIN /  2012-09-01 13:29	people slightly injured	1
#FEE0D2	1	6	2012-09-01 6	  1 people slightly injured at 2745 TALBOT /  2012-09-01 14:00	people slightly injured	1
#FEE0D2	1	7	2012-09-01 7	  1 people slightly injured at 929 ROLAND BEAUDIN /  2012-09-01 10:20	people slightly injured	1
#FEE0D2	1	8	2012-09-01 8	  1 people slightly injured at 0 BERNARD / N 2012-09-01 14:30	people slightly injured	1
#FEE0D2	1	9	2012-09-01 9	  1 people slightly injured at  QUEEN / 8E AV 2012-09-01 19:27	people slightly injured	1
#FEE0D2	1	10	2012-09-01 10	  1 people slightly injured at  NORMANDEAU / STE ELISABETH 2012-09-01 17:10	people slightly injured	1
#FEE0D2	1	11	2012-09-01 11	  1 people slightly injured at  ST CHARLES / ST LOUIS 2012-09-01 10:55	people slightly injured	1
#FB6A4A	1	12	2012-09-01 12	 1 person severely injured, 0 people slightly injured at  LEGER / CHARTRAND 2012-09-01 19:15	people severely injured	1
#FB6A4A	1	13	2012-09-01 13	 1 person severely injured, 0 people slightly injured at 807 ST HUBERT / D ARGENTEUIL 2012-09-01 14:43	people severely injured	1
#FB6A4A	1	14	2012-09-01 14	 1 person severely injured, 0 people slightly injured at 434 ST JOSEPH / ST GEORGE 2012-09-01 13:47	people severely injured	1
