fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2014-06-01 1	  1 people slightly injured at 9917 LASALLE / PRES DE 2014-06-01 13:20	people slightly injured	1
#FEE0D2	1	2	2014-06-01 2	  1 people slightly injured at 6020 LAVOISIER /  2014-06-01 11:20	people slightly injured	1
#FEE0D2	1	3	2014-06-01 3	  1 people slightly injured at 1125 PAPINEAU / DES JONQUILLES 2014-06-01 9:50	people slightly injured	1
#FEE0D2	1	4	2014-06-01 4	  1 people slightly injured at  BOURASSA / CHANTAL 2014-06-01 10:21	people slightly injured	1
#FEE0D2	1	5	2014-06-01 5	  1 people slightly injured at  CH STE FOY / FORTELLES 2014-06-01 10:40	people slightly injured	1
#FEE0D2	1	6	2014-06-01 6	  1 people slightly injured at 128 PRINCIPALE ILE DU PAS / RG ILE DU PAS 2014-06-01 16:00	people slightly injured	1
#FEE0D2	1	7	2014-06-01 7	  8 people slightly injured at  RG ST JEAN BAPTISTE / RG 6 2014-06-01 10:30	people slightly injured	1
#FEE0D2	1	8	2014-06-01 8	  1 people slightly injured at 22 DES LILAS /  2014-06-01 18:30	people slightly injured	1
#FEE0D2	2	1	2014-06-02 1	  1 people slightly injured at  QUERBES / LIEGES 2014-06-02 8:42	people slightly injured	1
#FEE0D2	2	2	2014-06-02 2	  1 people slightly injured at  ROY / LAVAL 2014-06-02 15:35	people slightly injured	1
#FEE0D2	2	3	2014-06-02 3	  1 people slightly injured at  BD DES PRAIRIES / AV DU CROCHET 2014-06-02 11:58	people slightly injured	1
#FEE0D2	2	4	2014-06-02 4	  1 people slightly injured at  CH D AYLMER / AV DE LA COLLINE 2014-06-02 10:46	people slightly injured	1
#FEE0D2	2	5	2014-06-02 5	  1 people slightly injured at  GLENHOLM / PINE 2014-06-02 15:50	people slightly injured	1
#FEE0D2	2	6	2014-06-02 6	  1 people slightly injured at  BD TASCHEREAU / REGENT 2014-06-02 8:10	people slightly injured	1
#FEE0D2	2	7	2014-06-02 7	  1 people slightly injured at  HUBERT / CARTIER 2014-06-02 18:55	people slightly injured	1
#FEE0D2	2	8	2014-06-02 8	  1 people slightly injured at 168 CHURCHILL / VERCHERE 2014-06-02 21:52	people slightly injured	1
#FEE0D2	2	9	2014-06-02 9	  1 people slightly injured at  BD ST JOSEPH / CELANESE 2014-06-02 7:33	people slightly injured	1
#FEE0D2	2	10	2014-06-02 10	  1 people slightly injured at  BD JOLLIET / LAVOIE ET JOLLIET 2014-06-02 12:00	people slightly injured	1
#FB6A4A	2	11	2014-06-02 11	 1 person severely injured, 0 people slightly injured at  GDE COTE / 56E AV 2014-06-02 22:00	people severely injured	1
#FEE0D2	3	1	2014-06-03 1	  1 people slightly injured at  ATWATER / ST JACQUES 2014-06-03 21:45	people slightly injured	1
#FEE0D2	3	2	2014-06-03 2	  1 people slightly injured at  BOYER / JEAN TALON 2014-06-03 12:30	people slightly injured	1
#FEE0D2	3	3	2014-06-03 3	  1 people slightly injured at  ROBINSON S / DENISON O 2014-06-03 16:24	people slightly injured	1
#FEE0D2	3	4	2014-06-03 4	  1 people slightly injured at  FAIRVIEW CRESCENT / ARQUTIKALAK 2014-06-03 17:00	people slightly injured	1
#FEE0D2	3	5	2014-06-03 5	  1 people slightly injured at  3E AV / 1RE RUE 2014-06-03 16:20	people slightly injured	1
#FEE0D2	4	1	2014-06-04 1	  1 people slightly injured at  BANNANTYNE / BEATTY 2014-06-04 8:00	people slightly injured	1
#FEE0D2	4	2	2014-06-04 2	  1 people slightly injured at  VIAU / ST ZOTIQUE 2014-06-04 14:24	people slightly injured	1
#FEE0D2	4	3	2014-06-04 3	  1 people slightly injured at  CHAMBERLAND / BRODEUR 2014-06-04 21:15	people slightly injured	1
#FEE0D2	4	4	2014-06-04 4	  1 people slightly injured at 6599 DES GRADINS /  2014-06-04 13:34	people slightly injured	1
#FEE0D2	5	1	2014-06-05 1	  1 people slightly injured at  BELLECHASSE / ST HUBERT 2014-06-05 19:30	people slightly injured	1
#FEE0D2	5	2	2014-06-05 2	  1 people slightly injured at  ST JOSEPH E / HENRI JULIEN 2014-06-05 17:35	people slightly injured	1
#FEE0D2	5	3	2014-06-05 3	  1 people slightly injured at   /  2014-06-05 	people slightly injured	1
#FEE0D2	5	4	2014-06-05 4	  1 people slightly injured at  BD DES LAURENTIDES / BELGRADE 2014-06-05 17:30	people slightly injured	1
#FEE0D2	5	5	2014-06-05 5	  1 people slightly injured at  ROBINSON N / BD LECLERC O 2014-06-05 14:27	people slightly injured	1
#FEE0D2	5	6	2014-06-05 6	  1 people slightly injured at   / 17E AV O 2014-06-05 16:00	people slightly injured	1
#FEE0D2	5	7	2014-06-05 7	  1 people slightly injured at  LEONARD / RTE 117 2014-06-05 13:20	people slightly injured	1
#FEE0D2	5	8	2014-06-05 8	  1 people slightly injured at  DES SAULES E / 1RE AV 2014-06-05 19:14	people slightly injured	1
#FEE0D2	5	9	2014-06-05 9	  1 people slightly injured at 283 AMBROISE DEARDEN /  2014-06-05 17:22	people slightly injured	1
#FEE0D2	6	1	2014-06-06 1	  1 people slightly injured at 200 RENE LEVESQUE E /  2014-06-06 13:05	people slightly injured	1
#FEE0D2	6	2	2014-06-06 2	  1 people slightly injured at  ST URBAIN / EVANS 2014-06-06 18:20	people slightly injured	1
#FEE0D2	6	3	2014-06-06 3	  1 people slightly injured at  CREMAZIE / ST LAURENT 2014-06-06 9:42	people slightly injured	1
#FEE0D2	6	4	2014-06-06 4	  1 people slightly injured at  BD DES ALLUMETTIERES / MORIN 2014-06-06 21:30	people slightly injured	1
#FEE0D2	6	5	2014-06-06 5	  1 people slightly injured at 207 COURVILLE / BD ST LUC 2014-06-06 16:18	people slightly injured	1
#FEE0D2	6	6	2014-06-06 6	  1 people slightly injured at 870 BD TALBOT /  2014-06-06 14:11	people slightly injured	1
