fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2012-12-01 1	  1 people slightly injured at 766 BELANGER /  2012-12-01 15:13	people slightly injured	1
#FB6A4A	2	1	2012-12-02 1	 1 person severely injured, 0 people slightly injured at  CHARLEROI / ST JULIEN 2012-12-02 17:00	people severely injured	1
#FEE0D2	3	1	2012-12-03 1	  1 people slightly injured at 570 FOURNIER / LORRAIN 2012-12-03 12:57	people slightly injured	1
#FEE0D2	4	1	2012-12-04 1	  1 people slightly injured at 3131 COTE VERTU / STAT 2012-12-04 17:00	people slightly injured	1
#FEE0D2	4	2	2012-12-04 2	  1 people slightly injured at  SHERBROOKE / OLD ORCHARD 2012-12-04 9:20	people slightly injured	1
#FEE0D2	4	3	2012-12-04 3	  1 people slightly injured at  TUPPER / ATWATER 2012-12-04 13:06	people slightly injured	1
#FEE0D2	4	4	2012-12-04 4	  1 people slightly injured at  CURE POIRIER O / DANIEL 2012-12-04 6:30	people slightly injured	1
#FEE0D2	5	1	2012-12-05 1	  1 people slightly injured at  BERRI / ONTARIO 2012-12-05 9:29	people slightly injured	1
#FEE0D2	6	1	2012-12-06 1	  1 people slightly injured at  ST JEAN / HOLIDAY 2012-12-06 16:11	people slightly injured	1
#FB6A4A	6	2	2012-12-06 2	 1 person severely injured, 0 people slightly injured at   / ROY ET BERRI 2012-12-06 20:45	people severely injured	1
#FEE0D2	8	1	2012-12-08 1	  1 people slightly injured at 596 RG ST FRANCOIS /  2012-12-08 15:00	people slightly injured	1
#FEE0D2	10	1	2012-12-10 1	  1 people slightly injured at 9087 ST MICHEL /  2012-12-10 14:45	people slightly injured	1
#FEE0D2	11	1	2012-12-11 1	  1 people slightly injured at   / ONTARIO ET VISITATION 2012-12-11 14:00	people slightly injured	1
#FEE0D2	13	1	2012-12-13 1	  1 people slightly injured at  DUMAS / BERRI 2012-12-13 11:35	people slightly injured	1
#FEE0D2	14	1	2012-12-14 1	  1 people slightly injured at  43E AV / BELANGER 2012-12-14 17:00	people slightly injured	1
#FEE0D2	14	2	2012-12-14 2	  1 people slightly injured at  DE MEULLES / L ESPINAY 2012-12-14 19:30	people slightly injured	1
#FEE0D2	17	1	2012-12-17 1	  1 people slightly injured at 411 AV SIROIS / BD ARTHUR BUIES 2012-12-17 16:17	people slightly injured	1
