fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2013-07-01 1	  1 people slightly injured at  GOUIN / EDGER 2013-07-01 13:15	people slightly injured	1
#FEE0D2	1	2	2013-07-01 2	  1 people slightly injured at  CH DES PELERINS / DU BARON 2013-07-01 0:50	people slightly injured	1
#FEE0D2	1	3	2013-07-01 3	  1 people slightly injured at  DU QUAI / ST JACQUES 2013-07-01 14:21	people slightly injured	1
#FEE0D2	1	4	2013-07-01 4	  1 people slightly injured at  LAFONTAINE / ST JACQUES 2013-07-01 14:30	people slightly injured	1
#FEE0D2	1	5	2013-07-01 5	  1 people slightly injured at  BD GOUIN / COUSINS N 2013-07-01 22:16	people slightly injured	1
#FEE0D2	1	6	2013-07-01 6	  1 people slightly injured at  IBERVILLE / PHILIPPE GOULET 2013-07-01 16:27	people slightly injured	1
#FEE0D2	1	7	2013-07-01 7	  1 people slightly injured at  BD FRANCOIS DE LAVAL / BD STE ANNE 2013-07-01 8:46	people slightly injured	1
#FEE0D2	1	8	2013-07-01 8	  1 people slightly injured at 1546 CH DES PATRIOTES / SYLVIO DUFAULT 2013-07-01 18:58	people slightly injured	1
#FEE0D2	1	9	2013-07-01 9	  1 people slightly injured at  N-D / DES PINS 2013-07-01 15:50	people slightly injured	1
#FEE0D2	1	10	2013-07-01 10	  1 people slightly injured at 300 RTE 138 FACE / ESSO 2013-07-01 15:27	people slightly injured	1
#FEE0D2	1	11	2013-07-01 11	  1 people slightly injured at  JEAN BAPTISTE / CH REHAUME RTE 221 2013-07-01 12:48	people slightly injured	1
#FEE0D2	1	12	2013-07-01 12	  1 people slightly injured at   / 2421 CH ROYAL 2013-07-01 15:55	people slightly injured	1
#FB6A4A	1	13	2013-07-01 13	 1 person severely injured, 0 people slightly injured at  RACINE / LAFONTAINE 2013-07-01 15:19	people severely injured	1
#FEE0D2	2	1	2013-07-02 1	  1 people slightly injured at  ST KEVIN / LEMIEUX 2013-07-02 17:30	people slightly injured	1
#FEE0D2	2	2	2013-07-02 2	  1 people slightly injured at 11029 MACKAY /  2013-07-02 19:15	people slightly injured	1
#FB6A4A	2	3	2013-07-02 3	 1 person severely injured, 0 people slightly injured at  RTE DE L EGLISE / HOCHELAGA 2013-07-02 13:18	people severely injured	1
#FEE0D2	3	1	2013-07-03 1	  1 people slightly injured at 2101 DOLLARD /  2013-07-03 16:25	people slightly injured	1
#FEE0D2	3	2	2013-07-03 2	  1 people slightly injured at  VIGER / BERRI 2013-07-03 16:26	people slightly injured	1
#FEE0D2	3	3	2013-07-03 3	  1 people slightly injured at 1 GILLES VILLENEUVE /  2013-07-03 18:00	people slightly injured	1
#FEE0D2	3	4	2013-07-03 4	  1 people slightly injured at 237 VAN HORNE / JEANNE MANCE 2013-07-03 7:50	people slightly injured	1
#FEE0D2	3	5	2013-07-03 5	  1 people slightly injured at  RACHEL / RIVARD 2013-07-03 19:29	people slightly injured	1
