x	y	group
-73.5517852973529	45.490851250017	1274
-73.5520030008104	45.4908588771977	1274
-73.552054224999	45.4908565300953	1274
-73.5521293773459	45.4908394670178	1274
-73.5522239735059	45.4908101347658	1274
-73.5523039086861	45.4907967341868	1274
-73.5492134766074	45.4900590376033	1562
-73.548995775642	45.4900248210322	1562
-73.548811365402	45.4900871428764	1562
-73.548230038795	45.4900093020029	1562
-73.5479965976966	45.4899731768125	1562
-73.5740569025955	45.4779816665034	1752
-73.5740163265841	45.4779071966988	1752
-73.5739410097261	45.4776921092148	1752
-73.5738881086206	45.4775811105419	1752
-73.5535738175952	45.5252158997188	1
-73.5534606701615	45.5251889868693	1
-73.5530469843927	45.525081930856	1
-73.5527605057562	45.525006665143	1
-73.5473109232875	45.4706919990258	420
-73.5472633400075	45.4706779166751	420
-73.5471650998759	45.470636671626	420
-73.5470422162293	45.470597766115	420
-73.5468835960391	45.4705613512565	420
-73.5467754939937	45.470523909839	420
-73.5466645230985	45.4704664510457	420
-73.5465694020016	45.4704002605009	420
-73.5464722207124	45.4703207849981	420
-73.5464033753725	45.4702499293208	420
-73.5463311700966	45.4701613329649	420
-73.5462805838466	45.4700818040862	420
-73.5462362959244	45.4699876671537	420
-73.5462173810196	45.4699222548821	420
-73.5462205682345	45.4698981125856	420
-73.5599847695565	45.4689744564751	1803
-73.5600505645248	45.4690164338845	1803
-73.5601553408632	45.469057711005	1803
-73.5608356916648	45.4692913994075	1803
-73.5612051784503	45.4694069079676	1803
-73.5612721085778	45.4694222516626	1803
-73.5613592728779	45.4694306072696	1803
-73.5615968097061	45.4694394589471	1803
-73.5617426946887	45.4694502973388	1803
-73.56188291442	45.4694750727552	1803
-73.5620253199744	45.469503943759	1803
-73.56212597584	45.4695107549495	1803
-73.5622092745668	45.4695021968276	1803
-73.5622955037453	45.4694785293318	1803
-73.5310070421681	45.5524752676133	151
-73.5310296171075	45.5524991206961	151
-73.5310528134597	45.5525301975285	151
-73.5310777357952	45.5525906845359	151
-73.5311078748134	45.5526158277295	151
-73.5312140286083	45.5526809226738	151
-73.5417135017883	45.5369439794832	212
-73.5416988231726	45.5369146368715	212
-73.5417072112009	45.53680842826	212
-73.5417071821271	45.5367056388481	212
-73.5417010690163	45.536640003386	212
-73.5380889605866	45.5406803354231	220
-73.5380928647364	45.5406577746857	220
-73.5381283716688	45.5406161478686	220
-73.5381752089585	45.5405609892017	220
-73.5381979812696	45.5405498709027	220
-73.5350445263693	45.5462169954687	221
-73.5351265252125	45.5460960607653	221
-73.5351913119867	45.5459829459838	221
-73.5352230683739	45.5458577010612	221
-73.5352256415352	45.5458169913778	221
-73.5352623758873	45.5457229519497	221
-73.5353115573767	45.5456296725598	221
-73.5347333633642	45.5471775570808	222
-73.5347577044419	45.547163311964	222
-73.5348013512539	45.5471775690415	222
-73.5348758030921	45.5472034065342	222
-73.5349248649211	45.5472113113713	222
-73.5350163005109	45.5472146771849	222
-73.5350804570082	45.5472114683013	222
-73.5351410870449	45.5472032536385	222
-73.535192380259	45.5471851243256	222
-73.5352396534448	45.547154921247	222
-73.5352687169566	45.5471169528311	222
-73.5352748318318	45.5470561145441	222
-73.5352743861522	45.5469829883591	222
-73.5352607098993	45.5468786848331	222
-73.535236296296	45.5468094769004	222
-73.5352202114159	45.5467877655834	222
-73.5351768412085	45.5467767190491	222
-73.5351318063696	45.5467636488299	222
-73.5351020934081	45.546744772154	222
-73.5350501142776	45.546704948427	222
-73.5350129810709	45.5466515696211	222
-73.5349897729078	45.5465935489272	222
-73.5349688855304	45.5465053577319	222
-73.5349665646523	45.546414845639	222
-73.5349779495538	45.5463466196	222
-73.5336502908003	45.5476948146947	223
-73.533715623182	45.5477145958185	223
-73.5340425713543	45.5478181608686	223
-73.5341162454461	45.5478416152739	223
-73.5341629642539	45.5478502643649	223
-73.5341962786681	45.5478483660711	223
-73.5342430047143	45.5478397757458	223
-73.534266193658	45.5478241295526	223
-73.5342908961972	45.5477887633964	223
-73.5346198607252	45.5473054686802	223
-73.5331416683315	45.549416473617	224
-73.5332440740137	45.5492434403219	224
-73.5333062179982	45.5491235115249	224
-73.5333370967057	45.5490906221066	224
-73.5335617525733	45.5489152968799	224
-73.5336099503839	45.5488624996111	224
-73.5336565114953	45.5487933383129	224
-73.533795140982	45.5485256428271	224
-73.5338418614199	45.5484063686472	224
-73.5338528450208	45.5483607906408	224
-73.5338407873536	45.5483339135423	224
-73.5338186735301	45.5482940911994	224
-73.533771900114	45.5482501606818	224
-73.5336621250407	45.5481655665155	224
-73.5335699121369	45.5481051986766	224
-73.5335206916297	45.5479639950483	224
-73.5322783330116	45.5505789840665	225
-73.5323387459215	45.5504468848766	225
-73.5323740753595	45.550313756109	225
-73.5324036379451	45.5502188946973	225
-73.5324465159507	45.5501308791116	225
-73.5325187124921	45.5500504799142	225
-73.5326125761523	45.5499820497072	225
-73.532731353295	45.5498993503152	225
-73.5327856289711	45.5498438786187	225
-73.5328630620866	45.5497497233425	225
-73.5316739446368	45.5515518209255	226
-73.5316813683694	45.5515328168405	226
-73.5316717410403	45.5514808639918	226
-73.5316260122292	45.551358426428	226
-73.5316184799031	45.5512788345796	226
-73.5316330992233	45.5512261747721	226
-73.531666340787	45.5511674077578	226
-73.5317547774059	45.5510665028911	226
-73.5318411378713	45.5509867917491	226
-73.5283819468701	45.55438965	227
-73.52838516645	45.55438965	227
-73.5284190438346	45.55438965	227
-73.5284501044185	45.55438965	227
-73.5284673402508	45.55438965	227
-73.52799191044	45.55438965	228
-73.5279849756618	45.55438965	228
-73.5280276986922	45.55438965	228
-73.528065093549	45.55438965	228
-73.5280784093802	45.55438965	228
-73.526913717998	45.55438965	235
-73.5269559427128	45.55438965	235
