fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	2	1	2012-10-02 1	  1 people slightly injured at  CHRISTOPHE COLOMB / JARRY 2012-10-02 16:35	people slightly injured	1
#FEE0D2	2	2	2012-10-02 2	  1 people slightly injured at  ST JOSEPH ET HOTEL DE VILLE /  2012-10-02 16:25	people slightly injured	1
#FEE0D2	2	3	2012-10-02 3	  1 people slightly injured at  RACHEL / ST LAURENT 2012-10-02 22:00	people slightly injured	1
#FEE0D2	2	4	2012-10-02 4	  1 people slightly injured at  GILLESPIE / BALL 2012-10-02 16:37	people slightly injured	1
#FEE0D2	2	5	2012-10-02 5	  1 people slightly injured at  BD SACRE COEUR / MANCE 2012-10-02 8:06	people slightly injured	1
#FEE0D2	2	6	2012-10-02 6	  1 people slightly injured at 389 BD DE LA CITE DES JEUNES / TALBOT 2012-10-02 8:33	people slightly injured	1
#FEE0D2	2	7	2012-10-02 7	  1 people slightly injured at  FORTIER / CHARLEVOIX 2012-10-02 20:10	people slightly injured	1
#FEE0D2	2	8	2012-10-02 8	  1 people slightly injured at  EVANGELINE / MGR GOSSELIN 2012-10-02 14:38	people slightly injured	1
#FEE0D2	2	9	2012-10-02 9	  1 people slightly injured at  CANARDIERE ET BERGERMONT /  2012-10-02 15:45	people slightly injured	1
#FEE0D2	2	10	2012-10-02 10	  1 people slightly injured at  ANGUS S / WARNER 2012-10-02 10:51	people slightly injured	1
#FEE0D2	3	1	2012-10-03 1	  1 people slightly injured at 505 STE CATHERINE O /  2012-10-03 15:40	people slightly injured	1
#FEE0D2	3	2	2012-10-03 2	  1 people slightly injured at  HENRI JULIEN / LAURIER 2012-10-03 18:00	people slightly injured	1
#FEE0D2	3	3	2012-10-03 3	  1 people slightly injured at  RACHEL / ST DENIS 2012-10-03 12:30	people slightly injured	1
#FEE0D2	3	4	2012-10-03 4	  1 people slightly injured at  BD LORRAINE / VAUDREUIL 2012-10-03 7:35	people slightly injured	1
#FEE0D2	3	5	2012-10-03 5	  1 people slightly injured at 166 RTE /  2012-10-03 17:10	people slightly injured	1
#FEE0D2	4	1	2012-10-04 1	  1 people slightly injured at  ST URBAIN / SHERBROOKE 2012-10-04 3:45	people slightly injured	1
#FEE0D2	4	2	2012-10-04 2	  1 people slightly injured at   / DE LORIMIER ET ROUEN 2012-10-04 19:07	people slightly injured	1
#FEE0D2	4	3	2012-10-04 3	  1 people slightly injured at  PRINCE ARTHUR / CLARK 2012-10-04 16:32	people slightly injured	1
#FEE0D2	4	4	2012-10-04 4	  1 people slightly injured at  LANGELIER / BEAUBIEN 2012-10-04 20:45	people slightly injured	1
#FEE0D2	4	5	2012-10-04 5	  1 people slightly injured at  BD LAVIGERIE / WOODWARD 2012-10-04 8:34	people slightly injured	1
#FEE0D2	4	6	2012-10-04 6	  1 people slightly injured at 364 BD RIEL / FRANCOIS DE LEVIS 2012-10-04 8:05	people slightly injured	1
#FEE0D2	4	7	2012-10-04 7	  1 people slightly injured at 10 DES TRAVERSIERS / DALHOUSIE 2012-10-04 8:10	people slightly injured	1
#FEE0D2	4	8	2012-10-04 8	  1 people slightly injured at  BD SACRE COEUR / RTE 169 2012-10-04 17:05	people slightly injured	1
#FEE0D2	4	9	2012-10-04 9	  1 people slightly injured at  RTE 117 / DE L EGLISE 2012-10-04 8:25	people slightly injured	1
#A50F15	4	10	2012-10-04 10	1 death,  0 people slightly injured at  CH STE FOY / BRABANT 2012-10-04 10:52	deaths	1
#FEE0D2	5	1	2012-10-05 1	  1 people slightly injured at  LAVAL / SHERBROOKE E 2012-10-05 23:34	people slightly injured	1
#FEE0D2	5	2	2012-10-05 2	  1 people slightly injured at  VAN HORNE / DU PARC 2012-10-05 18:00	people slightly injured	1
#FEE0D2	5	3	2012-10-05 3	  1 people slightly injured at  BD MAISONNEUVE / BD ALLUMETTIERES 2012-10-05 17:30	people slightly injured	1
#FEE0D2	5	4	2012-10-05 4	  1 people slightly injured at  MELANCON / PARENT 2012-10-05 10:48	people slightly injured	1
#FEE0D2	5	5	2012-10-05 5	  1 people slightly injured at  ST CANUT / PHILIPPON 2012-10-05 20:02	people slightly injured	1
#FEE0D2	5	6	2012-10-05 6	  1 people slightly injured at 602 BOIS FRANCS S / FACE 2012-10-05 18:45	people slightly injured	1
#FEE0D2	5	7	2012-10-05 7	  1 people slightly injured at  ST ANDRE / MACDONALD 2012-10-05 16:25	people slightly injured	1
#FEE0D2	6	1	2012-10-06 1	  1 people slightly injured at  LAURIER ET 10E AV /  2012-10-06 10:10	people slightly injured	1
#FEE0D2	6	2	2012-10-06 2	  1 people slightly injured at  BD LUCERNE / ROYAL 2012-10-06 15:30	people slightly injured	1
#FEE0D2	7	1	2012-10-07 1	  1 people slightly injured at  BAGOT / ST STANISLAS 2012-10-07 20:26	people slightly injured	1
#FEE0D2	7	2	2012-10-07 2	  1 people slightly injured at  LAFONTAINE / BD MAURICE 2012-10-07 5:48	people slightly injured	1
#FEE0D2	7	3	2012-10-07 3	  1 people slightly injured at  5E AV / 116E RUE 2012-10-07 19:05	people slightly injured	1
#FEE0D2	7	4	2012-10-07 4	  1 people slightly injured at 517 GRACE /  2012-10-07 15:44	people slightly injured	1
#FB6A4A	7	5	2012-10-07 5	 1 person severely injured, 0 people slightly injured at 4 CENTRALE /  2012-10-07 19:13	people severely injured	1
#FEE0D2	8	1	2012-10-08 1	  1 people slightly injured at  ADDINGTON / SHERBROOKE 2012-10-08 9:25	people slightly injured	1
#FEE0D2	8	2	2012-10-08 2	  1 people slightly injured at 1297 CH DE LA FORET / STAT PRES DE L ENTR 2012-10-08 12:30	people slightly injured	1
#FEE0D2	8	3	2012-10-08 3	  1 people slightly injured at  ST LOUIS / ST GEORGES 2012-10-08 17:30	people slightly injured	1
#FEE0D2	8	4	2012-10-08 4	  1 people slightly injured at  BRIEN / AUT 40 2012-10-08 11:57	people slightly injured	1
#FEE0D2	8	5	2012-10-08 5	  1 people slightly injured at 21 CH GDE LIGNE /  2012-10-08 10:34	people slightly injured	1
#FB6A4A	8	6	2012-10-08 6	 1 person severely injured, 0 people slightly injured at   / ST URBAIN ET MILTON 2012-10-08 23:38	people severely injured	1
#A50F15	8	7	2012-10-08 7	1 death,  0 people slightly injured at  N-D / DU QUAI 2012-10-08 17:30	deaths	1
#FEE0D2	9	1	2012-10-09 1	  1 people slightly injured at  CARSON / LOUISE LAMY 2012-10-09 14:00	people slightly injured	1
#FEE0D2	9	2	2012-10-09 2	  1 people slightly injured at  ST LOUIS / 7E AV 2012-10-09 21:39	people slightly injured	1
#FEE0D2	9	3	2012-10-09 3	  1 people slightly injured at  DE MAISONNEUVE O / MCGILL COLLEGE 2012-10-09 16:08	people slightly injured	1
#FEE0D2	9	4	2012-10-09 4	  1 people slightly injured at  PIE IX /  2012-10-09 11:30	people slightly injured	1
#FEE0D2	9	5	2012-10-09 5	  1 people slightly injured at 239 CONCORDE E / BRETAGNE 2012-10-09 19:00	people slightly injured	1
#FEE0D2	9	6	2012-10-09 6	  1 people slightly injured at  ST ETIENNE / BD MAISONNEUVE 2012-10-09 11:46	people slightly injured	1
#FEE0D2	9	7	2012-10-09 7	  1 people slightly injured at  GDE AL / RIV CACHEE 2012-10-09 9:45	people slightly injured	1
#FEE0D2	9	8	2012-10-09 8	  1 people slightly injured at 300 ST EUSTACHE / DE LA FORGE 2012-10-09 16:45	people slightly injured	1
#FEE0D2	10	1	2012-10-10 1	  1 people slightly injured at  CENTR COMMERCIAL ET 4E AV S /  2012-10-10 17:35	people slightly injured	1
#FEE0D2	10	2	2012-10-10 2	  1 people slightly injured at  ROUEN / MONTGOMERY 2012-10-10 19:00	people slightly injured	1
#FEE0D2	10	3	2012-10-10 3	  1 people slightly injured at  BD ST JOSEPH E / AV DE L HOTEL DE VILLE 2012-10-10 18:43	people slightly injured	1
#FEE0D2	10	4	2012-10-10 4	  1 people slightly injured at  SAURIOL / 1RE RUE 2012-10-10 18:21	people slightly injured	1
#FEE0D2	10	5	2012-10-10 5	  1 people slightly injured at 2250 RTE MARIE VICTORIN /  2012-10-10 18:22	people slightly injured	1
#FEE0D2	10	6	2012-10-10 6	  1 people slightly injured at  RUELLE DES BAINS / ST VALLIER E 2012-10-10 17:23	people slightly injured	1
#FEE0D2	10	7	2012-10-10 7	  1 people slightly injured at 568 GDE COTE O / CAMPING CHEZ DENISE 2012-10-10 14:15	people slightly injured	1
#FEE0D2	10	8	2012-10-10 8	  1 people slightly injured at  ST GERMAIN E / BD JESSOP 2012-10-10 10:00	people slightly injured	1
#FEE0D2	11	1	2012-10-11 1	  1 people slightly injured at  NEWMAN / ALLARD 2012-10-11 17:05	people slightly injured	1
#FEE0D2	11	2	2012-10-11 2	  1 people slightly injured at 6071 MONK / JOLICOEUR 2012-10-11 15:15	people slightly injured	1
#FEE0D2	11	3	2012-10-11 3	  1 people slightly injured at  ST DENIS / ST ZOTIQUE E 2012-10-11 23:00	people slightly injured	1
#FEE0D2	11	4	2012-10-11 4	  1 people slightly injured at  VILLENEUVE / HENRI JULIEN 2012-10-11 15:20	people slightly injured	1
#FEE0D2	11	5	2012-10-11 5	  1 people slightly injured at  CURE LABELLE / CHARLES 2012-10-11 5:05	people slightly injured	1
#FEE0D2	11	6	2012-10-11 6	  1 people slightly injured at  CURE LABELLE / BOILEAU 2012-10-11 8:05	people slightly injured	1
#FEE0D2	12	1	2012-10-12 1	  1 people slightly injured at 1675 MARIE DUBOIS /  2012-10-12 18:24	people slightly injured	1
#FEE0D2	12	2	2012-10-12 2	  1 people slightly injured at  ST EUSTACHE / DU MOULIN 2012-10-12 16:53	people slightly injured	1
#FEE0D2	12	3	2012-10-12 3	  1 people slightly injured at  ST VALLIER / MARIE DE L INCARNATION 2012-10-12 11:45	people slightly injured	1
#FEE0D2	12	4	2012-10-12 4	  1 people slightly injured at  CHOQUETTE / BEAUDRY 2012-10-12 5:53	people slightly injured	1
#FEE0D2	12	5	2012-10-12 5	  1 people slightly injured at 650 BD ST JOSEPH O /  2012-10-12 18:10	people slightly injured	1
#FEE0D2	13	1	2012-10-13 1	  1 people slightly injured at 189 GDE COTE /  2012-10-13 12:10	people slightly injured	1
#FEE0D2	13	2	2012-10-13 2	  1 people slightly injured at  QUATRE BOURGEOIS / BEGON 2012-10-13 10:15	people slightly injured	1
#FEE0D2	14	1	2012-10-14 1	  1 people slightly injured at  N-D / PEEL 2012-10-14 5:55	people slightly injured	1
#FEE0D2	14	2	2012-10-14 2	  1 people slightly injured at 99 RICHELIEU / CARRE RICHELIEU 2012-10-14 16:30	people slightly injured	1
#FEE0D2	15	1	2012-10-15 1	  1 people slightly injured at  DE VILLE MARIE / ADAM 2012-10-15 13:00	people slightly injured	1
#FEE0D2	15	2	2012-10-15 2	  1 people slightly injured at  BD OUELLET / BD FRONTENAC E 2012-10-15 13:22	people slightly injured	1
#FEE0D2	15	3	2012-10-15 3	  1 people slightly injured at 1350 DE L HYPPODROME / DERR LE STADE FERNAND BEDARD 2012-10-15 19:37	people slightly injured	1
#FEE0D2	15	4	2012-10-15 4	  1 people slightly injured at  20E AV / CH OKA 2012-10-15 14:35	people slightly injured	1
#FEE0D2	15	5	2012-10-15 5	  1 people slightly injured at  STE ANGELIQUE / BELLEVUE 2012-10-15 17:23	people slightly injured	1
#FEE0D2	16	1	2012-10-16 1	  1 people slightly injured at  MAISONNEUVE O BD / ST MATHIEU 2012-10-16 10:25	people slightly injured	1
#FEE0D2	16	2	2012-10-16 2	  1 people slightly injured at  MAISONNEUVE /  2012-10-16 12:45	people slightly injured	1
#FEE0D2	16	3	2012-10-16 3	  1 people slightly injured at 378 ALEXANDRE / RUELLE CANTIN 2012-10-16 16:40	people slightly injured	1
#FEE0D2	16	4	2012-10-16 4	  1 people slightly injured at  10E RUE / 2E AV 2012-10-16 10:14	people slightly injured	1
#FEE0D2	17	1	2012-10-17 1	  1 people slightly injured at 6031 AV DU PARC /  2012-10-17 23:40	people slightly injured	1
#FEE0D2	17	2	2012-10-17 2	  1 people slightly injured at  ST THOMAS / STE MARIE 2012-10-17 14:57	people slightly injured	1
#FEE0D2	17	3	2012-10-17 3	  1 people slightly injured at 451 CH DU FLEUVE /  2012-10-17 14:31	people slightly injured	1
#FEE0D2	18	1	2012-10-18 1	  1 people slightly injured at  HENRI BOURASSA / DUTRISAC 2012-10-18 8:12	people slightly injured	1
#FEE0D2	18	2	2012-10-18 2	  1 people slightly injured at  ST URBAIN / MAISONNEUVE 2012-10-18 15:50	people slightly injured	1
#FEE0D2	18	3	2012-10-18 3	  1 people slightly injured at  STE CATHERINE E / ST LAURENT 2012-10-18 17:40	people slightly injured	1
#FEE0D2	18	4	2012-10-18 4	  1 people slightly injured at  ST DENIS / LAURIER 2012-10-18 22:15	people slightly injured	1
#FEE0D2	18	5	2012-10-18 5	  1 people slightly injured at  4E AV / 156E RUE 2012-10-18 13:18	people slightly injured	1
#FEE0D2	18	6	2012-10-18 6	  1 people slightly injured at  ST PAUL / JEAN LESAGE 2012-10-18 17:25	people slightly injured	1
#FEE0D2	19	1	2012-10-19 1	  1 people slightly injured at  QUERBES / BERNARD 2012-10-19 8:04	people slightly injured	1
#FEE0D2	19	2	2012-10-19 2	  1 people slightly injured at  ST ZOTIQUE / GARNIER 2012-10-19 16:20	people slightly injured	1
#FEE0D2	19	3	2012-10-19 3	  1 people slightly injured at  DES PINS / STE FAMILLE 2012-10-19 19:06	people slightly injured	1
#FEE0D2	19	4	2012-10-19 4	  1 people slightly injured at  RACHEL / DE LA ROCHE 2012-10-19 20:03	people slightly injured	1
#FEE0D2	19	5	2012-10-19 5	  1 people slightly injured at 10999 ST JEAN BAPTISTE / HENRY BOURASSA 2012-10-19 8:05	people slightly injured	1
#FEE0D2	19	6	2012-10-19 6	  1 people slightly injured at   / BD GEORGES GAGNE 2012-10-19 18:15	people slightly injured	1
#FEE0D2	19	7	2012-10-19 7	  1 people slightly injured at  1RE RUE / 4E AV 2012-10-19 13:40	people slightly injured	1
#FEE0D2	19	8	2012-10-19 8	  1 people slightly injured at 2375 ALLE DES BIBLIOTHEQUES /  2012-10-19 20:15	people slightly injured	1
#FEE0D2	19	9	2012-10-19 9	  1 people slightly injured at  JEAN DOLBEAU / 2E AV 2012-10-19 12:00	people slightly injured	1
#FEE0D2	20	1	2012-10-20 1	  1 people slightly injured at  BEGIN / HOTEL DIEU 2012-10-20 18:03	people slightly injured	1
#FEE0D2	20	2	2012-10-20 2	  1 people slightly injured at  BOUVIER / CHAMPLAIN 2012-10-20 21:00	people slightly injured	1
#FEE0D2	20	3	2012-10-20 3	  1 people slightly injured at 1325 RG ST FELIX /  2012-10-20 18:30	people slightly injured	1
#FEE0D2	20	4	2012-10-20 4	  1 people slightly injured at  N-D / ST ANDRE 2012-10-20 15:25	people slightly injured	1
#FEE0D2	21	1	2012-10-21 1	  1 people slightly injured at  MOREAU / ROUEN 2012-10-21 4:10	people slightly injured	1
#FEE0D2	21	2	2012-10-21 2	  1 people slightly injured at  ELM / ALICE CARRIERE 2012-10-21 17:26	people slightly injured	1
