fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2013-10-01 1	  1 people slightly injured at  COTE DE LIESSE / MTEE DE LIESSE 2013-10-01 7:18	people slightly injured	1
#FEE0D2	1	2	2013-10-01 2	  1 people slightly injured at  LACHAPELLE / PERINAUD 2013-10-01 16:00	people slightly injured	1
#FEE0D2	1	3	2013-10-01 3	  1 people slightly injured at   / CREMAZIE ET CHRISTOPHE COLOMB 2013-10-01 8:10	people slightly injured	1
#FEE0D2	1	4	2013-10-01 4	  1 people slightly injured at  BERNARD / JEANNE MANCE 2013-10-01 21:33	people slightly injured	1
#FEE0D2	1	5	2013-10-01 5	  1 people slightly injured at 6147 PASCAL OPP /  2013-10-01 18:55	people slightly injured	1
#FEE0D2	1	6	2013-10-01 6	  1 people slightly injured at  BELANGER / IBERVILLE 2013-10-01 15:30	people slightly injured	1
#FEE0D2	1	7	2013-10-01 7	  1 people slightly injured at   /  2013-10-01 11:45	people slightly injured	1
#FEE0D2	1	8	2013-10-01 8	  1 people slightly injured at  AV DU PARC / PARE 2013-10-01 11:45	people slightly injured	1
#FEE0D2	1	9	2013-10-01 9	  1 people slightly injured at 1415 BD MOODY / BD DE HAUTEVILLE 2013-10-01 13:20	people slightly injured	1
#FEE0D2	1	10	2013-10-01 10	  1 people slightly injured at 575 ST LOUIS / CHAPLEAU 2013-10-01 17:00	people slightly injured	1
#FEE0D2	1	11	2013-10-01 11	  1 people slightly injured at 3135 ST LOUIS / ENTR STAT 2013-10-01 17:33	people slightly injured	1
#FEE0D2	1	12	2013-10-01 12	  1 people slightly injured at 4901 DES GALERIES /  2013-10-01 9:00	people slightly injured	1
#FEE0D2	1	13	2013-10-01 13	  1 people slightly injured at  GIROUARD / PARIS 2013-10-01 14:00	people slightly injured	1
#FEE0D2	1	14	2013-10-01 14	  1 people slightly injured at  ST ANTOINE / ST BASILE 2013-10-01 13:30	people slightly injured	1
#FEE0D2	2	1	2013-10-02 1	  1 people slightly injured at  COTE ST LUC / FIELDING 2013-10-02 19:05	people slightly injured	1
#FEE0D2	2	2	2013-10-02 2	  1 people slightly injured at  COTE STE CATHERINE / PAGNUELO 2013-10-02 16:05	people slightly injured	1
#FEE0D2	2	3	2013-10-02 3	  1 people slightly injured at  COTE STE CATHERINE / BELOEIL 2013-10-02 17:13	people slightly injured	1
#FEE0D2	2	4	2013-10-02 4	  1 people slightly injured at 426 BEAUBIEN E /  2013-10-02 19:15	people slightly injured	1
#FEE0D2	2	5	2013-10-02 5	  1 people slightly injured at   / CLIFFORD 2013-10-02 9:25	people slightly injured	1
#FEE0D2	2	6	2013-10-02 6	  1 people slightly injured at  DANDURAND / 9E AV 2013-10-02 22:10	people slightly injured	1
#FEE0D2	2	7	2013-10-02 7	  1 people slightly injured at  DES CHENAUX / DU ST MAURICE 2013-10-02 16:15	people slightly injured	1
#FEE0D2	2	8	2013-10-02 8	  1 people slightly injured at  ST RAYMOND / LIONEL EMOND 2013-10-02 19:48	people slightly injured	1
#FEE0D2	2	9	2013-10-02 9	  1 people slightly injured at 8673 ST JACQUES /  2013-10-02 6:30	people slightly injured	1
#FEE0D2	2	10	2013-10-02 10	  1 people slightly injured at  HENRI BOURASSA / PRENOVEAU 2013-10-02 7:50	people slightly injured	1
#FEE0D2	2	11	2013-10-02 11	  1 people slightly injured at  HENRI BOURASSA / CANARDIERE 2013-10-02 	people slightly injured	1
#FEE0D2	2	12	2013-10-02 12	  1 people slightly injured at  POLIQUIN / N-D 2013-10-02 19:20	people slightly injured	1
#FB6A4A	2	13	2013-10-02 13	 1 person severely injured, 0 people slightly injured at  DAIGNEAULT / DE LA MINE 2013-10-02 17:49	people severely injured	1
#FEE0D2	3	1	2013-10-03 1	  1 people slightly injured at 3950 BANNANTYNE / HICKSON 2013-10-03 14:30	people slightly injured	1
#FEE0D2	3	2	2013-10-03 2	  1 people slightly injured at 4320 PIERRE DE COUBERTIN / LETOURNEUX 2013-10-03 8:02	people slightly injured	1
#FEE0D2	3	3	2013-10-03 3	  1 people slightly injured at  BEAUBIEN / NORMANVILLE 2013-10-03 16:25	people slightly injured	1
#FEE0D2	3	4	2013-10-03 4	  1 people slightly injured at  MARQUETTE / LAURIER 2013-10-03 17:40	people slightly injured	1
#FEE0D2	3	5	2013-10-03 5	  1 people slightly injured at  SHERBROOKE / LOUIS VEUILLOT 2013-10-03 16:20	people slightly injured	1
#FEE0D2	3	6	2013-10-03 6	  1 people slightly injured at  BELAIR O / COMMERCIALE 2013-10-03 17:43	people slightly injured	1
#FEE0D2	3	7	2013-10-03 7	  1 people slightly injured at  TERRIL / GDES FOURCHES N 2013-10-03 10:15	people slightly injured	1
#FEE0D2	3	8	2013-10-03 8	  1 people slightly injured at  PROSPECT / BD JACQUES CARTIER N 2013-10-03 12:22	people slightly injured	1
#FEE0D2	3	9	2013-10-03 9	  1 people slightly injured at 3959 HAMPTON /  2013-10-03 17:15	people slightly injured	1
#FEE0D2	3	10	2013-10-03 10	  1 people slightly injured at  BD INDUSTRIEL / BD LA POTERIE 2013-10-03 14:19	people slightly injured	1
#FEE0D2	3	11	2013-10-03 11	  1 people slightly injured at  HOLLAND / RENE LEVESQUE O 2013-10-03 8:50	people slightly injured	1
#FEE0D2	3	12	2013-10-03 12	  1 people slightly injured at 960 6E AV /  2013-10-03 13:05	people slightly injured	1
#FEE0D2	3	13	2013-10-03 13	  1 people slightly injured at 99 BABY /  2013-10-03 16:24	people slightly injured	1
#FEE0D2	4	1	2013-10-04 1	  1 people slightly injured at  ANTOINE PINARD / FUSEY 2013-10-04 8:18	people slightly injured	1
#FEE0D2	4	2	2013-10-04 2	  1 people slightly injured at  JOHN EGAN / LE GUERRIER 2013-10-04 16:18	people slightly injured	1
#FEE0D2	4	3	2013-10-04 3	  1 people slightly injured at  CHRISTOPHE COLOMB / DE MAZENOD 2013-10-04 14:13	people slightly injured	1
#A50F15	4	4	2013-10-04 4	1 death,  0 people slightly injured at   / RG 12 2013-10-04 19:24	deaths	1
#FEE0D2	5	1	2013-10-05 1	  1 people slightly injured at  PORT ROYAL / LILLE 2013-10-05 8:03	people slightly injured	1
#FEE0D2	5	2	2013-10-05 2	  1 people slightly injured at  BD BRUNSWICK / BD ST CHARLES 2013-10-05 12:38	people slightly injured	1
#FEE0D2	5	3	2013-10-05 3	  1 people slightly injured at 1398 N-D /  2013-10-05 16:51	people slightly injured	1
#FB6A4A	5	4	2013-10-05 4	 1 person severely injured, 0 people slightly injured at   / CH COTE STE CATHERINE ET STUART 2013-10-05 14:10	people severely injured	1
#FEE0D2	6	1	2013-10-06 1	  1 people slightly injured at  JEAN RIVARD / 23E AV 2013-10-06 9:24	people slightly injured	1
#FEE0D2	6	2	2013-10-06 2	  1 people slightly injured at  LATOUR ET SEMINAIRE /  2013-10-06 20:00	people slightly injured	1
#FEE0D2	6	3	2013-10-06 3	  1 people slightly injured at  BD JUTRAS E / ENTR DU COLISEE 2013-10-06 20:20	people slightly injured	1
#FEE0D2	6	4	2013-10-06 4	  1 people slightly injured at  ST CHARLES / BOURGET 2013-10-06 17:00	people slightly injured	1
#FEE0D2	7	1	2013-10-07 1	  1 people slightly injured at  ST DENIS / RACHEL 2013-10-07 10:55	people slightly injured	1
#FEE0D2	7	2	2013-10-07 2	  1 people slightly injured at  AV DES PINS O / BASSET 2013-10-07 20:00	people slightly injured	1
#FEE0D2	7	3	2013-10-07 3	  1 people slightly injured at  MAPLE / FRECHETTE 2013-10-07 11:05	people slightly injured	1
#FEE0D2	7	4	2013-10-07 4	  1 people slightly injured at  PIE XI / INNOVATION 2013-10-07 16:48	people slightly injured	1
#FEE0D2	7	5	2013-10-07 5	  1 people slightly injured at  BD ROBERT BOURASSA / BD BASTIEN 2013-10-07 21:34	people slightly injured	1
#FEE0D2	8	1	2013-10-08 1	  1 people slightly injured at  CHARLEVOIX / ST PATRICK 2013-10-08 19:20	people slightly injured	1
#FEE0D2	8	2	2013-10-08 2	  1 people slightly injured at  ROCKLAND / BERNARD 2013-10-08 14:56	people slightly injured	1
#FEE0D2	8	3	2013-10-08 3	  1 people slightly injured at  22E AV / EVERETT 2013-10-08 8:00	people slightly injured	1
#FEE0D2	8	4	2013-10-08 4	  1 people slightly injured at  METROPOLITAIN VOIE DESS N / LOUIS VANIER 2013-10-08 16:10	people slightly injured	1
#FEE0D2	8	5	2013-10-08 5	  1 people slightly injured at  ST MAURICE / LATREILLE 2013-10-08 17:03	people slightly injured	1
#FEE0D2	8	6	2013-10-08 6	  1 people slightly injured at  SAGUENAY / SARTRE 2013-10-08 19:45	people slightly injured	1
