fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2014-03-01 1	  1 people slightly injured at  ARMAND BOMBARDIER / ANDRE AMPERE 2014-03-01 23:30	people slightly injured	1
#FEE0D2	3	1	2014-03-03 1	  1 people slightly injured at  STE CATHERINE / CHAMPLAIN 2014-03-03 18:38	people slightly injured	1
#FEE0D2	4	1	2014-03-04 1	  1 people slightly injured at  ST MICHEL / BELAIR 2014-03-04 16:50	people slightly injured	1
#FEE0D2	9	1	2014-03-09 1	  1 people slightly injured at  GUIZOT / ST DENIS 2014-03-09 16:10	people slightly injured	1
#FEE0D2	9	2	2014-03-09 2	  1 people slightly injured at  MARQUETTE / ROPER 2014-03-09 16:00	people slightly injured	1
#FEE0D2	11	1	2014-03-11 1	  1 people slightly injured at 980 MAISONNEUVE O / METCALFE 2014-03-11 9:00	people slightly injured	1
#FB6A4A	11	2	2014-03-11 2	 1 person severely injured, 0 people slightly injured at  N-D E / DES JONQUILLES 2014-03-11 16:23	people severely injured	1
#FEE0D2	12	1	2014-03-12 1	  1 people slightly injured at 700 MGR DUBOIS /  2014-03-12 9:46	people slightly injured	1
#FB6A4A	17	1	2014-03-17 1	 1 person severely injured, 0 people slightly injured at   / SHERBROOKE ET PARC LAFONTAINE 2014-03-17 9:30	people severely injured	1
#FEE0D2	24	1	2014-03-24 1	  1 people slightly injured at 3400 BD INDUSTRIEL /  2014-03-24 15:25	people slightly injured	1
#FEE0D2	26	1	2014-03-26 1	  1 people slightly injured at  CHAREST O / MARIE DE L INCARNATION 2014-03-26 17:15	people slightly injured	1
#FEE0D2	28	1	2014-03-28 1	  1 people slightly injured at  FOURNIER / DU PALAIS 2014-03-28 9:30	people slightly injured	1
