fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2013-06-01 1	  1 people slightly injured at  65E AV / 2E RUE 2013-06-01 16:30	people slightly injured	1
#FEE0D2	1	2	2013-06-01 2	  2 people slightly injured at  ST CHARLES / AV DU PARC 2013-06-01 16:48	people slightly injured	1
#FEE0D2	1	3	2013-06-01 3	  1 people slightly injured at  DU SEMINAIRE N / TOUPIN 2013-06-01 12:35	people slightly injured	1
#FEE0D2	1	4	2013-06-01 4	  1 people slightly injured at  DES MELEZES / DES SAPINS 2013-06-01 11:05	people slightly injured	1
#FEE0D2	1	5	2013-06-01 5	  1 people slightly injured at  1RE AV / DES BOULEAUX 2013-06-01 17:50	people slightly injured	1
#FEE0D2	1	6	2013-06-01 6	  1 people slightly injured at 25 PRINCIPALE /  2013-06-01 15:00	people slightly injured	1
#FEE0D2	1	7	2013-06-01 7	  1 people slightly injured at  HERITAGE / ST ROBERT 2013-06-01 13:52	people slightly injured	1
#FB6A4A	1	8	2013-06-01 8	 1 person severely injured, 0 people slightly injured at   / DE MAISONNEUVE ET DU FORT 2013-06-01 3:16	people severely injured	1
#FEE0D2	2	1	2013-06-02 1	  1 people slightly injured at  L O DAVID / 2E AV 2013-06-02 17:15	people slightly injured	1
#FEE0D2	2	2	2013-06-02 2	  1 people slightly injured at   /  2013-06-02 10:00	people slightly injured	1
#FEE0D2	2	3	2013-06-02 3	  1 people slightly injured at  RTE 132 / CENTRALE 2013-06-02 13:45	people slightly injured	1
#FEE0D2	2	4	2013-06-02 4	  1 people slightly injured at  BOUCHARD / VALIERE 2013-06-02 14:00	people slightly injured	1
#FEE0D2	3	1	2013-06-03 1	  1 people slightly injured at  BOURBONNIERE / ONTARIO 2013-06-03 2:45	people slightly injured	1
#FEE0D2	3	2	2013-06-03 2	  1 people slightly injured at  LAURIER / VERMONT 2013-06-03 15:05	people slightly injured	1
#FEE0D2	3	3	2013-06-03 3	  1 people slightly injured at 109 2E AV /  2013-06-03 16:30	people slightly injured	1
#FEE0D2	3	4	2013-06-03 4	  1 people slightly injured at 199 PIERRE BERTRAND / CHABOT 2013-06-03 7:50	people slightly injured	1
#FEE0D2	4	1	2013-06-04 1	  1 people slightly injured at  ST JOSEPH E / IBERVILLE 2013-06-04 9:30	people slightly injured	1
#FEE0D2	4	2	2013-06-04 2	  1 people slightly injured at  MT ROYAL / BORDEAUX 2013-06-04 12:45	people slightly injured	1
#FEE0D2	4	3	2013-06-04 3	  1 people slightly injured at  ST GEORGES / ST CHARLES 2013-06-04 8:55	people slightly injured	1
