colour	x	y	group	clickSelects	showSelected1	PANEL
#A799FF	1318617000	495.777777777778	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1326565800	2	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1329244200	3.64285714285714	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1331749800	421.777777777778	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1334428200	971.233333333333	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1337020200	1753.54838709677	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1339698600	1960.86666666667	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1342290600	1924.41935483871	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1344969000	1986.74193548387	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1347647400	1932.86666666667	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1350239400	1463.41935483871	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1352917800	788.2	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1358188200	19.0588235294118	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1360866600	5.25	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1363285800	177.464285714286	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1365964200	1060.8	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1368556200	2007.38709677419	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1371234600	1861.76666666667	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1373826600	1996.51612903226	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1376505000	1949.03225806452	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#A799FF	1379183400	2295	3	C么te-Sainte-Catherine	C么te-Sainte-Catherine	2
#FB8072	1287081000	1743.92307692308	4	du Parc	du Parc	2
#FB8072	1289759400	1308.23333333333	4	du Parc	du Parc	2
#FB8072	1292351400	165.709677419355	4	du Parc	du Parc	2
#FB8072	1295029800	160.129032258065	4	du Parc	du Parc	2
#FB8072	1297708200	115.892857142857	4	du Parc	du Parc	2
#FB8072	1300127400	308	4	du Parc	du Parc	2
#FB8072	1302805800	1123.83333333333	4	du Parc	du Parc	2
#FB8072	1305397800	2098.38709677419	4	du Parc	du Parc	2
#FB8072	1308076200	3043.46666666667	4	du Parc	du Parc	2
#FB8072	1310668200	2888.03225806452	4	du Parc	du Parc	2
#FB8072	1313346600	2720.83870967742	4	du Parc	du Parc	2
#FB8072	1316025000	3130.3	4	du Parc	du Parc	2
#FB8072	1318617000	2147.03225806452	4	du Parc	du Parc	2
#FB8072	1321295400	2074.66666666667	4	du Parc	du Parc	2
#FB8072	1326565800	99.6129032258064	4	du Parc	du Parc	2
#FB8072	1329244200	167.310344827586	4	du Parc	du Parc	2
#FB8072	1331749800	693.129032258065	4	du Parc	du Parc	2
#FB8072	1334428200	1534.93333333333	4	du Parc	du Parc	2
#FB8072	1337020200	2527.58064516129	4	du Parc	du Parc	2
#FB8072	1339698600	2873	4	du Parc	du Parc	2
#FB8072	1342290600	2839.03225806452	4	du Parc	du Parc	2
#FB8072	1344969000	2718.09677419355	4	du Parc	du Parc	2
#FB8072	1347647400	2887.03333333333	4	du Parc	du Parc	2
#FB8072	1350239400	2309.90322580645	4	du Parc	du Parc	2
#FB8072	1352917800	1403.2	4	du Parc	du Parc	2
#FB8072	1358188200	112.258064516129	4	du Parc	du Parc	2
#FB8072	1360866600	138.785714285714	4	du Parc	du Parc	2
#FB8072	1363285800	343.354838709677	4	du Parc	du Parc	2
#FB8072	1365964200	1486	4	du Parc	du Parc	2
