fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	2	1	2013-04-02 1	  1 people slightly injured at 254 CRAIG /  2013-04-02 8:15	people slightly injured	1
#A50F15	3	1	2013-04-03 1	1 death,  0 people slightly injured at  WELLINGTON / DE LA MONTAGNE 2013-04-03 16:00	deaths	1
#FEE0D2	4	1	2013-04-04 1	  1 people slightly injured at  DE MAISONNEUVE / STANLEY 2013-04-04 11:15	people slightly injured	1
#FEE0D2	4	2	2013-04-04 2	  1 people slightly injured at 911 JEAN TALON / BOYER 2013-04-04 8:55	people slightly injured	1
#FEE0D2	4	3	2013-04-04 3	  1 people slightly injured at  5E AV / KENDALL 2013-04-04 13:40	people slightly injured	1
#FEE0D2	5	1	2013-04-05 1	  1 people slightly injured at   /  2013-04-05 19:40	people slightly injured	1
#FEE0D2	5	2	2013-04-05 2	  1 people slightly injured at   / FLEURY ET ESPLANADE 2013-04-05 14:00	people slightly injured	1
#FB6A4A	5	3	2013-04-05 3	 1 person severely injured, 0 people slightly injured at  BD JUTRAS E / BD BOIS FRANCS S 2013-04-05 15:00	people severely injured	1
#FEE0D2	6	1	2013-04-06 1	  1 people slightly injured at  FER A CHEVAL / LEONARD DE VINCI 2013-04-06 16:43	people slightly injured	1
#FEE0D2	7	1	2013-04-07 1	  1 people slightly injured at  CH ROCKLAND / AV VIVIAN 2013-04-07 0:15	people slightly injured	1
#FEE0D2	7	2	2013-04-07 2	  1 people slightly injured at 41 AV PLANTE / WILFRID HAMEL 2013-04-07 18:58	people slightly injured	1
#FEE0D2	7	3	2013-04-07 3	  1 people slightly injured at 470 CH GDE LIGNE / CH MAIRIE 2013-04-07 21:15	people slightly injured	1
#FEE0D2	8	1	2013-04-08 1	  1 people slightly injured at 19 SHAMROCK / ST DOMINIQUE 2013-04-08 17:20	people slightly injured	1
#FEE0D2	8	2	2013-04-08 2	  1 people slightly injured at  BERNARD O / JEANNE MANCE 2013-04-08 19:50	people slightly injured	1
#FEE0D2	8	3	2013-04-08 3	  1 people slightly injured at 3840 ST JULIEN / ST CUTHBERT 2013-04-08 8:40	people slightly injured	1
#FEE0D2	8	4	2013-04-08 4	  1 people slightly injured at  CHOMEDEY / CARDINAL 2013-04-08 12:40	people slightly injured	1
#FEE0D2	9	1	2013-04-09 1	  1 people slightly injured at  ST PATRICK / SHEARER 2013-04-09 10:00	people slightly injured	1
#FEE0D2	9	2	2013-04-09 2	  1 people slightly injured at  LAPORTE / PRINCIPALE 2013-04-09 20:00	people slightly injured	1
#FEE0D2	10	1	2013-04-10 1	  1 people slightly injured at   / ST JOSEPH ET MBR BOURGET 2013-04-10 11:10	people slightly injured	1
#FEE0D2	10	2	2013-04-10 2	  1 people slightly injured at 0 DU PALAIS / FOURNIER 2013-04-10 18:30	people slightly injured	1
#FEE0D2	11	1	2013-04-11 1	  1 people slightly injured at 209 LAURIER E / HOTEL DE VILLE 2013-04-11 14:45	people slightly injured	1
#FEE0D2	11	2	2013-04-11 2	  1 people slightly injured at   / SHERBROOKE ET TRIANON 2013-04-11 9:10	people slightly injured	1
#FEE0D2	11	3	2013-04-11 3	  1 people slightly injured at  TERRILL / CHICOYNE 2013-04-11 15:16	people slightly injured	1
#FEE0D2	11	4	2013-04-11 4	  1 people slightly injured at  BD ROYAUME / PRES DE BESY 2013-04-11 13:15	people slightly injured	1
#FEE0D2	11	5	2013-04-11 5	  1 people slightly injured at 258 CH DE LA BUTTE /  2013-04-11 7:10	people slightly injured	1
#FEE0D2	11	6	2013-04-11 6	  1 people slightly injured at  JEAN LESAGE / ST HONORE 2013-04-11 13:30	people slightly injured	1
#FEE0D2	12	1	2013-04-12 1	  1 people slightly injured at  BOURGET / AV ST CHARLES 2013-04-12 14:30	people slightly injured	1
#FEE0D2	13	1	2013-04-13 1	  1 people slightly injured at  PETITE NORAIE / VISITATION 2013-04-13 12:06	people slightly injured	1
#FEE0D2	14	1	2013-04-14 1	  1 people slightly injured at  BD STE ROSE / MTEE MONTROUGEAU 2013-04-14 21:25	people slightly injured	1
#FEE0D2	14	2	2013-04-14 2	  1 people slightly injured at  CHAMBLY / NOBERT 2013-04-14 12:50	people slightly injured	1
#FEE0D2	15	1	2013-04-15 1	  1 people slightly injured at  HOCHELAGA / JOLIETTE 2013-04-15 19:20	people slightly injured	1
#FEE0D2	15	2	2013-04-15 2	  1 people slightly injured at  ST OLIVIER / DE LA VERENDRYE 2013-04-15 12:40	people slightly injured	1
#FEE0D2	15	3	2013-04-15 3	  1 people slightly injured at  PRDE DES SOEURS / CANDIDE DUCHARME 2013-04-15 18:45	people slightly injured	1
#FEE0D2	15	4	2013-04-15 4	  2 people slightly injured at 157 8E RUE /  2013-04-15 18:15	people slightly injured	1
#FEE0D2	16	1	2013-04-16 1	  1 people slightly injured at 5171 RTE 132 /  2013-04-16 20:07	people slightly injured	1
#FEE0D2	17	1	2013-04-17 1	  1 people slightly injured at  BD MAISONNEUVE O / CLARKE 2013-04-17 18:45	people slightly injured	1
#FEE0D2	17	2	2013-04-17 2	  1 people slightly injured at 1006 JEAN TALON O / BIRNAM 2013-04-17 14:20	people slightly injured	1
#FEE0D2	17	3	2013-04-17 3	  1 people slightly injured at  CH EARDLEY / DES HAUTES RIVES 2013-04-17 15:12	people slightly injured	1
#FEE0D2	17	4	2013-04-17 4	  1 people slightly injured at 6541 WILFRID HAMEL /  2013-04-17 18:12	people slightly injured	1
#FEE0D2	18	1	2013-04-18 1	  1 people slightly injured at  BERRI / ONTARIO 2013-04-18 10:04	people slightly injured	1
#FEE0D2	18	2	2013-04-18 2	  1 people slightly injured at  BD MONTCLAIR / BERRI 2013-04-18 10:57	people slightly injured	1
#FEE0D2	18	3	2013-04-18 3	  1 people slightly injured at  BD MOODY / BD DE HAUTEVILLE 2013-04-18 15:45	people slightly injured	1
#FEE0D2	19	1	2013-04-19 1	  1 people slightly injured at 6526 MONK /  2013-04-19 10:39	people slightly injured	1
#FEE0D2	19	2	2013-04-19 2	  1 people slightly injured at 3430 PEEL / SHERBROOKE O 2013-04-19 9:00	people slightly injured	1
#FEE0D2	19	3	2013-04-19 3	  1 people slightly injured at 1280 GALT E /  2013-04-19 9:32	people slightly injured	1
#FEE0D2	19	4	2013-04-19 4	  1 people slightly injured at  DEMERS / GABRIELLE ROY 2013-04-19 15:45	people slightly injured	1
#FEE0D2	19	5	2013-04-19 5	  1 people slightly injured at  PL DU COLLEGE / LAVALLEE 2013-04-19 11:30	people slightly injured	1
#FEE0D2	19	6	2013-04-19 6	  1 people slightly injured at 95 BD GERARD D LEVESQUE O /  2013-04-19 18:10	people slightly injured	1
#FEE0D2	21	1	2013-04-21 1	  1 people slightly injured at  AV DU PARC LAFONTAINE / CHERRIER 2013-04-21 20:30	people slightly injured	1
#FEE0D2	21	2	2013-04-21 2	  1 people slightly injured at 1646 RTE MARIE VICTORIN / RTE PAQUET 2013-04-21 13:30	people slightly injured	1
#FEE0D2	21	3	2013-04-21 3	  1 people slightly injured at  JEAN TALON / N-D 2013-04-21 8:46	people slightly injured	1
