fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2014-04-01 1	  1 people slightly injured at 12 MARIE ANNE / ST LAURENT 2014-04-01 16:28	people slightly injured	1
#FEE0D2	1	2	2014-04-01 2	  1 people slightly injured at  BD DU PLATEAU / EUROPE 2014-04-01 19:06	people slightly injured	1
#FB6A4A	1	3	2014-04-01 3	 1 person severely injured, 0 people slightly injured at 786 MELANCON / FILION 2014-04-01 16:25	people severely injured	1
#FEE0D2	2	1	2014-04-02 1	  1 people slightly injured at  TOWERS / BD DE MAISONNEUVE O 2014-04-02 14:05	people slightly injured	1
#FEE0D2	2	2	2014-04-02 2	  1 people slightly injured at 2230 QUESNEL / GEORGES VANIER 2014-04-02 	people slightly injured	1
#FEE0D2	2	3	2014-04-02 3	  1 people slightly injured at 51 LEVESQUE / OLIER ET LEVESQUE 2014-04-02 17:20	people slightly injured	1
#FEE0D2	3	1	2014-04-03 1	  1 people slightly injured at  MTEE MAJOR / BD DES PRAIRIES 2014-04-03 20:50	people slightly injured	1
#FB6A4A	3	2	2014-04-03 2	 1 person severely injured, 0 people slightly injured at  PRINCIPALE / CHABOT 2014-04-03 16:30	people severely injured	1
#FEE0D2	4	1	2014-04-04 1	  1 people slightly injured at 2435 EDOUARD MONTPETIT /  2014-04-04 23:25	people slightly injured	1
#FEE0D2	5	1	2014-04-05 1	  1 people slightly injured at  BD THIBEAU / BERLINGUET 2014-04-05 15:09	people slightly injured	1
#FEE0D2	6	1	2014-04-06 1	  1 people slightly injured at  RUELLE DES BRAVES / PERE MARQUETTE 2014-04-06 12:32	people slightly injured	1
#FEE0D2	7	1	2014-04-07 1	  1 people slightly injured at 608 COTE STE CATHERINE / AINSLIE 2014-04-07 16:12	people slightly injured	1
#FEE0D2	7	2	2014-04-07 2	  1 people slightly injured at  N-D / DUMONT 2014-04-07 16:50	people slightly injured	1
#FEE0D2	8	1	2014-04-08 1	  1 people slightly injured at  VILLENEUVE / ST JOSEPH 2014-04-08 9:55	people slightly injured	1
#FEE0D2	9	1	2014-04-09 1	  1 people slightly injured at  GOUIN / MISERICORDE 2014-04-09 19:20	people slightly injured	1
#FEE0D2	9	2	2014-04-09 2	  1 people slightly injured at  DE LA COLLINE / DES TREMBLES 2014-04-09 17:00	people slightly injured	1
#FEE0D2	9	3	2014-04-09 3	  1 people slightly injured at  PARC / GABRIEL 2014-04-09 16:30	people slightly injured	1
#FEE0D2	10	1	2014-04-10 1	  1 people slightly injured at  HOCHELAGA / PREFONTAINE 2014-04-10 16:25	people slightly injured	1
#FEE0D2	10	2	2014-04-10 2	  1 people slightly injured at  BD DE L INDUSTRIE / BD MONTCALM N 2014-04-10 12:35	people slightly injured	1
#FEE0D2	10	3	2014-04-10 3	  1 people slightly injured at  DU PARC PHILIPPE VILLENEUVE / GUERIN 2014-04-10 18:05	people slightly injured	1
#FEE0D2	10	4	2014-04-10 4	  2 people slightly injured at  ST ETIENNE / ST JEAN BAPTISTE 2014-04-10 12:02	people slightly injured	1
#FEE0D2	10	5	2014-04-10 5	  1 people slightly injured at  LAPOINTE / BRAULT 2014-04-10 17:44	people slightly injured	1
#FEE0D2	10	6	2014-04-10 6	  1 people slightly injured at  BOISSEAU / ST LUC 2014-04-10 20:00	people slightly injured	1
#FEE0D2	11	1	2014-04-11 1	  1 people slightly injured at 141 LAFAYETTE EN FACE /  2014-04-11 	people slightly injured	1
#FEE0D2	11	2	2014-04-11 2	  1 people slightly injured at 9850 BD DES HETRES /  2014-04-11 15:00	people slightly injured	1
#FEE0D2	11	3	2014-04-11 3	  1 people slightly injured at 16075 ST LOUIS /  2014-04-11 18:00	people slightly injured	1
#FEE0D2	11	4	2014-04-11 4	  1 people slightly injured at 287 N-D O /  2014-04-11 17:29	people slightly injured	1
#FEE0D2	12	1	2014-04-12 1	  1 people slightly injured at  ST ZOTIQUE E / 1RE AV 2014-04-12 15:40	people slightly injured	1
#FEE0D2	13	1	2014-04-13 1	  1 people slightly injured at 1185 CH DU TREMBLAY /  2014-04-13 12:00	people slightly injured	1
#FEE0D2	13	2	2014-04-13 2	  1 people slightly injured at  FERE / PAQUIN 2014-04-13 16:45	people slightly injured	1
#FEE0D2	14	1	2014-04-14 1	  1 people slightly injured at  LAURIER / HENRI JULIEN 2014-04-14 21:18	people slightly injured	1
#FEE0D2	14	2	2014-04-14 2	  1 people slightly injured at 257 GENTILLY /  2014-04-14 19:30	people slightly injured	1
#FB6A4A	14	3	2014-04-14 3	 1 person severely injured, 0 people slightly injured at   /  2014-04-14 14:22	people severely injured	1
#FEE0D2	15	1	2014-04-15 1	  1 people slightly injured at  N-D / ST PIERRE 2014-04-15 9:45	people slightly injured	1
#FEE0D2	15	2	2014-04-15 2	  1 people slightly injured at  VILLENEUVE / NELSON 2014-04-15 16:23	people slightly injured	1
#FEE0D2	15	3	2014-04-15 3	  1 people slightly injured at 2115 GERONIE GARIEPY /  2014-04-15 18:15	people slightly injured	1
#FEE0D2	15	4	2014-04-15 4	  1 people slightly injured at  AV AUBIN / AV PIERRE 2014-04-15 20:42	people slightly injured	1
#FEE0D2	16	1	2014-04-16 1	  1 people slightly injured at  GOSFORD / N-D 2014-04-16 17:25	people slightly injured	1
#FEE0D2	16	2	2014-04-16 2	  1 people slightly injured at  CHRISTOPHE COLOMB / SAURIOL 2014-04-16 17:50	people slightly injured	1
#FEE0D2	17	1	2014-04-17 1	  1 people slightly injured at 4318 FULLUM / MARIE ANGE 2014-04-17 11:50	people slightly injured	1
#FEE0D2	17	2	2014-04-17 2	  1 people slightly injured at  BD CHAREST O / D ARGENSON 2014-04-17 13:43	people slightly injured	1
#FEE0D2	17	3	2014-04-17 3	  1 people slightly injured at  PROVENCAL / MAURICE PAQUET 2014-04-17 18:13	people slightly injured	1
#A50F15	17	4	2014-04-17 4	1 death,  0 people slightly injured at  41E RUE E / 2E AV E 2014-04-17 21:22	deaths	1
#FEE0D2	18	1	2014-04-18 1	  1 people slightly injured at 311 AV VICTORIA /  2014-04-18 2:55	people slightly injured	1
#FEE0D2	19	1	2014-04-19 1	  1 people slightly injured at  MTEE ST ISIDORE / RG ST REGIS S 2014-04-19 16:15	people slightly injured	1
#FEE0D2	19	2	2014-04-19 2	  1 people slightly injured at   / LAJEUNESSE ET MGR DUBOIS 2014-04-19 21:09	people slightly injured	1
#FEE0D2	19	3	2014-04-19 3	  1 people slightly injured at  WILFRID HAMEL / JULES VERNE 2014-04-19 8:27	people slightly injured	1
