colour	x	y	tooltip	clickSelects	showSelected1	PANEL	fill
#32D6BA	1334428200	2256.63333333333	67699 cyclists counted at Berri in 30 days of April 2012 (mean 2256 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1337020200	4299.16129032258	133274 cyclists counted at Berri in 31 days of May 2012 (mean 4299 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1339698600	4828.3	144849 cyclists counted at Berri in 30 days of June 2012 (mean 4828 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1342290600	5243.93548387097	162562 cyclists counted at Berri in 31 days of July 2012 (mean 5243 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1344969000	4813.77419354839	149227 cyclists counted at Berri in 31 days of August 2012 (mean 4813 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1347647400	4235.36666666667	127061 cyclists counted at Berri in 30 days of September 2012 (mean 4235 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1350239400	3057.83870967742	94793 cyclists counted at Berri in 31 days of October 2012 (mean 3057 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1352917800	1608.8	8044 cyclists counted at Berri in 5 days of November 2012 (mean 1608 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1358188200	208.733333333333	6262 cyclists counted at Berri in 30 days of January 2013 (mean 208 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1360866600	226.857142857143	6352 cyclists counted at Berri in 28 days of February 2013 (mean 226 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1363285800	482.806451612903	14967 cyclists counted at Berri in 31 days of March 2013 (mean 482 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1365964200	2092.8	62784 cyclists counted at Berri in 30 days of April 2013 (mean 2092 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1368556200	4269.64516129032	132359 cyclists counted at Berri in 31 days of May 2013 (mean 4269 cyclists/day)	Berri	Berri	2	#32D6BA
