fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2012-06-01 1	  1 people slightly injured at 3457 COTE DES NEIGES / SHERBROOKE O 2012-06-01 14:20	people slightly injured	1
#FEE0D2	1	2	2012-06-01 2	  1 people slightly injured at  RACHEL / FRONTENAC 2012-06-01 15:15	people slightly injured	1
#FEE0D2	1	3	2012-06-01 3	  1 people slightly injured at 576 CH PINTENDRE /  2012-06-01 7:39	people slightly injured	1
#FEE0D2	1	4	2012-06-01 4	  1 people slightly injured at  CH STE MARGUERITE / DE LA SABLIERE 2012-06-01 13:03	people slightly injured	1
#FEE0D2	1	5	2012-06-01 5	  1 people slightly injured at 1638 ROYALE / ST ROCH 2012-06-01 20:19	people slightly injured	1
#FEE0D2	1	6	2012-06-01 6	  1 people slightly injured at 305 CALIXA LAVALLEE /  2012-06-01 7:24	people slightly injured	1
#FEE0D2	1	7	2012-06-01 7	  1 people slightly injured at  BERNARD PILON / NOBEL 2012-06-01 12:30	people slightly injured	1
#FEE0D2	1	8	2012-06-01 8	  1 people slightly injured at  1RE AV / DES LILAS E 2012-06-01 14:45	people slightly injured	1
#FEE0D2	1	9	2012-06-01 9	  1 people slightly injured at  ROBERT BOURASSA / LAURIER 2012-06-01 15:46	people slightly injured	1
#FEE0D2	1	10	2012-06-01 10	  1 people slightly injured at  MGR PLESSIS / FLEUR DE LYS 2012-06-01 16:10	people slightly injured	1
#FEE0D2	1	11	2012-06-01 11	  1 people slightly injured at  BD DE LA COLLINE / DE L EPILOBE 2012-06-01 18:01	people slightly injured	1
#FEE0D2	1	12	2012-06-01 12	  1 people slightly injured at  RG ST SIMON / ENTR AUT 20 E 2012-06-01 14:06	people slightly injured	1
#FB6A4A	1	13	2012-06-01 13	 1 person severely injured, 0 people slightly injured at  MASON / CONNAUGHT 2012-06-01 22:17	people severely injured	1
#FEE0D2	3	1	2012-06-03 1	  1 people slightly injured at  HONORE BEAUGRAND / SOULIGNY 2012-06-03 16:04	people slightly injured	1
#FEE0D2	3	2	2012-06-03 2	  1 people slightly injured at  8E AV ET BD DU LAC /  2012-06-03 12:45	people slightly injured	1
#FEE0D2	3	3	2012-06-03 3	  1 people slightly injured at  ROY / ALAIN 2012-06-03 17:49	people slightly injured	1
#FB6A4A	3	4	2012-06-03 4	 1 person severely injured, 0 people slightly injured at  CH GASCON / PHILIPPE FERLAND 2012-06-03 13:20	people severely injured	1
#FEE0D2	4	1	2012-06-04 1	  1 people slightly injured at  ACADIE / OGILVY 2012-06-04 8:10	people slightly injured	1
