fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	1	1	2013-11-01 1	  1 people slightly injured at  VERDUN / EGAN 2013-11-01 14:45	people slightly injured	1
#FEE0D2	1	2	2013-11-01 2	  1 people slightly injured at  ST LAURENT / BAGG 2013-11-01 22:15	people slightly injured	1
#FEE0D2	1	3	2013-11-01 3	  1 people slightly injured at  HENRI JULIEN / DULUTH 2013-11-01 16:45	people slightly injured	1
#A50F15	1	4	2013-11-01 4	1 death,  0 people slightly injured at 5110 ST DENIS / LAURIER 2013-11-01 13:10	deaths	1
#FEE0D2	2	1	2013-11-02 1	  1 people slightly injured at  BD DE L ASSOMPTION / AV DES SAULES 2013-11-02 10:10	people slightly injured	1
#FEE0D2	2	2	2013-11-02 2	  1 people slightly injured at 1837 CH GASCON /  2013-11-02 11:07	people slightly injured	1
#FEE0D2	3	1	2013-11-03 1	  1 people slightly injured at  CHEVRIER / COUSIN 2013-11-03 17:15	people slightly injured	1
#FEE0D2	4	1	2013-11-04 1	  1 people slightly injured at 2727 PIE IX PRES DE /  2013-11-04 20:30	people slightly injured	1
#FEE0D2	4	2	2013-11-04 2	  1 people slightly injured at 6390 ST LAURENT /  2013-11-04 15:25	people slightly injured	1
#FEE0D2	4	3	2013-11-04 3	  1 people slightly injured at  PIE XII / ARTHUR SAUVE 2013-11-04 6:59	people slightly injured	1
#FEE0D2	4	4	2013-11-04 4	  1 people slightly injured at  ST SACREMENT / INGENIEURS 2013-11-04 8:00	people slightly injured	1
#FEE0D2	4	5	2013-11-04 5	  1 people slightly injured at   / DUNRING ET LINDSAY 2013-11-04 12:15	people slightly injured	1
#FEE0D2	4	6	2013-11-04 6	  1 people slightly injured at  F X BOUCHARD / BD MARCOTTE 2013-11-04 15:48	people slightly injured	1
#FEE0D2	5	1	2013-11-05 1	  1 people slightly injured at  ATWATER / WORKMAN 2013-11-05 17:05	people slightly injured	1
#FEE0D2	5	2	2013-11-05 2	  1 people slightly injured at  SHERBROOKE / DU PARC 2013-11-05 7:51	people slightly injured	1
#FEE0D2	5	3	2013-11-05 3	  1 people slightly injured at  LAURIER / 9E AV 2013-11-05 22:58	people slightly injured	1
#A50F15	5	4	2013-11-05 4	1 death,  0 people slightly injured at 1543 MTEE STE JULIE / FACE AU BAR LE CHERCHEUR 2013-11-05 15:59	deaths	1
#FEE0D2	6	1	2013-11-06 1	  1 people slightly injured at  COTE STE CATHERINE / BELOEIL 2013-11-06 18:27	people slightly injured	1
#FEE0D2	6	2	2013-11-06 2	  1 people slightly injured at  BRUXELLE / HENRI BOURASSA 2013-11-06 17:00	people slightly injured	1
#FEE0D2	6	3	2013-11-06 3	  1 people slightly injured at  DES RECOLLETS / BELLEFEUILLE 2013-11-06 17:44	people slightly injured	1
#FEE0D2	6	4	2013-11-06 4	  1 people slightly injured at 246 5E AV / GUENETTE 2013-11-06 10:40	people slightly injured	1
#FEE0D2	6	5	2013-11-06 5	  1 people slightly injured at  PICHE / BECANCOUR 2013-11-06 13:00	people slightly injured	1
#FEE0D2	7	1	2013-11-07 1	  1 people slightly injured at  MESSIER / RACHEL 2013-11-07 18:50	people slightly injured	1
#FEE0D2	7	2	2013-11-07 2	  1 people slightly injured at  LAURIER / PAPINEAU 2013-11-07 17:24	people slightly injured	1
#FEE0D2	8	1	2013-11-08 1	  1 people slightly injured at  PARC ET ST VIATEUR /  2013-11-08 21:20	people slightly injured	1
#FEE0D2	8	2	2013-11-08 2	  2 people slightly injured at  BELLEFEUILLE / ST ROCH 2013-11-08 10:21	people slightly injured	1
#FEE0D2	8	3	2013-11-08 3	  1 people slightly injured at  DUBOIS / ANTOINE SEGUIN 2013-11-08 9:40	people slightly injured	1
#FEE0D2	8	4	2013-11-08 4	  1 people slightly injured at  AV ESPLANADE / AV BOURQUE 2013-11-08 17:05	people slightly injured	1
#FEE0D2	9	1	2013-11-09 1	  1 people slightly injured at  RTE 132 / BD GEORGES GAGNE 2013-11-09 18:11	people slightly injured	1
#FEE0D2	9	2	2013-11-09 2	  1 people slightly injured at  PIERRE LESUEUR / DE BUSSAT 2013-11-09 8:50	people slightly injured	1
#FEE0D2	11	1	2013-11-11 1	  1 people slightly injured at  ONTARIO / DE L HOTEL DE VILLE 2013-11-11 16:45	people slightly injured	1
#FEE0D2	11	2	2013-11-11 2	  1 people slightly injured at  RENE LEVESQUE E / BERRI 2013-11-11 17:30	people slightly injured	1
#FEE0D2	11	3	2013-11-11 3	  1 people slightly injured at  CH STE CATHERINE / DU MT ROYAL 2013-11-11 17:45	people slightly injured	1
#FEE0D2	11	4	2013-11-11 4	  1 people slightly injured at  LEBRUN / SOULIGNY 2013-11-11 8:02	people slightly injured	1
#FEE0D2	11	5	2013-11-11 5	  1 people slightly injured at  VALIQUETTE / ST PIERRE 2013-11-11 14:30	people slightly injured	1
#FEE0D2	13	1	2013-11-13 1	  1 people slightly injured at  PIERRE DE COUBERTIN / DES ORMEAUX 2013-11-13 18:59	people slightly injured	1
#FEE0D2	13	2	2013-11-13 2	  1 people slightly injured at   / TERRILL ET BRET GDE FOURCHE N DIR 2013-11-13 14:25	people slightly injured	1
#FEE0D2	13	3	2013-11-13 3	  1 people slightly injured at  BD STE ANNE / RICHARD 2013-11-13 8:21	people slightly injured	1
#FEE0D2	14	1	2013-11-14 1	  1 people slightly injured at  12E AV / VILLERAY 2013-11-14 	people slightly injured	1
#FEE0D2	14	2	2013-11-14 2	  1 people slightly injured at  RACHEL / CHAMBORD 2013-11-14 18:00	people slightly injured	1
#FEE0D2	14	3	2013-11-14 3	  1 people slightly injured at 375 DES FORGES / CHAMPLAIN 2013-11-14 15:49	people slightly injured	1
#FEE0D2	14	4	2013-11-14 4	  1 people slightly injured at  KING O /  2013-11-14 17:50	people slightly injured	1
#FEE0D2	14	5	2013-11-14 5	  1 people slightly injured at  1RE AV / 55E RUE 2013-11-14 13:50	people slightly injured	1
#FEE0D2	14	6	2013-11-14 6	  1 people slightly injured at   / CH STE FOY ET ERNEST GAGNON 2013-11-14 16:19	people slightly injured	1
#FB6A4A	14	7	2013-11-14 7	 1 person severely injured, 0 people slightly injured at 354 5E AV /  2013-11-14 18:33	people severely injured	1
#FEE0D2	15	1	2013-11-15 1	  1 people slightly injured at 73 CH DE LA PLAINES /  2013-11-15 17:30	people slightly injured	1
#FEE0D2	16	1	2013-11-16 1	  1 people slightly injured at  CH DE LA COTE STE CATHERINE / STUART 2013-11-16 9:49	people slightly injured	1
#FEE0D2	16	2	2013-11-16 2	  1 people slightly injured at 5455 ST LAURENT /  2013-11-16 	people slightly injured	1
#FEE0D2	16	3	2013-11-16 3	  1 people slightly injured at 847 JACQUES CARTIER O / STE HELENE 2013-11-16 16:05	people slightly injured	1
#FB6A4A	16	4	2013-11-16 4	 1 person severely injured, 0 people slightly injured at  LEPIRE ET DE LA COLLINE /  2013-11-16 1:00	people severely injured	1
#FEE0D2	18	1	2013-11-18 1	  1 people slightly injured at   / JEAN BRILLANT ET 8E RUE 2013-11-18 	people slightly injured	1
#FEE0D2	18	2	2013-11-18 2	  1 people slightly injured at   / ANGRIGNON BD ET ST PATRICK 2013-11-18 15:39	people slightly injured	1
#FEE0D2	19	1	2013-11-19 1	  1 people slightly injured at  STRATFORD / ELLERDALE 2013-11-19 7:45	people slightly injured	1
#FEE0D2	19	2	2013-11-19 2	  1 people slightly injured at  ST LAURENT / RACHEL 2013-11-19 18:40	people slightly injured	1
#FEE0D2	19	3	2013-11-19 3	  1 people slightly injured at 2505 ST HUBERT /  2013-11-19 9:15	people slightly injured	1
#FEE0D2	20	1	2013-11-20 1	  1 people slightly injured at 75 FACE AV DES PINS / ST URBAIN 2013-11-20 	people slightly injured	1
#FEE0D2	20	2	2013-11-20 2	  1 people slightly injured at 661 BD SEMINAIRE N / REST MACDONALD 2013-11-20 11:30	people slightly injured	1
#FEE0D2	20	3	2013-11-20 3	  1 people slightly injured at  HEBERT / MARTEL 2013-11-20 12:01	people slightly injured	1
#FEE0D2	20	4	2013-11-20 4	  1 people slightly injured at  DES PINS / BOUCHERVILLE 2013-11-20 8:30	people slightly injured	1
#FEE0D2	21	1	2013-11-21 1	  1 people slightly injured at   / SAUVE ET ACADIE 2013-11-21 17:07	people slightly injured	1
