fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	7	1	2013-03-07 1	  1 people slightly injured at 246 ST EDMOND /  2013-03-07 11:02	people slightly injured	1
#FEE0D2	8	1	2013-03-08 1	  1 people slightly injured at  DEZERY / ONTARIO 2013-03-08 13:50	people slightly injured	1
#FEE0D2	11	1	2013-03-11 1	  1 people slightly injured at  ST DOMINIQUE / DE MAISONNEUVE 2013-03-11 8:50	people slightly injured	1
#FEE0D2	12	1	2013-03-12 1	  1 people slightly injured at  CONNAUGHT / SHERBROOKE O 2013-03-12 19:54	people slightly injured	1
#FEE0D2	13	1	2013-03-13 1	  1 people slightly injured at   / MAXIME 2013-03-13 12:58	people slightly injured	1
#FEE0D2	15	1	2013-03-15 1	  1 people slightly injured at 48 YOUNG / ALEXANDRA 2013-03-15 15:39	people slightly injured	1
#FEE0D2	16	1	2013-03-16 1	  1 people slightly injured at  1RE RUE O / 1RE AV O 2013-03-16 11:30	people slightly injured	1
#FEE0D2	17	1	2013-03-17 1	  1 people slightly injured at  GREEN / MERTON 2013-03-17 15:55	people slightly injured	1
#FB6A4A	17	2	2013-03-17 2	 1 person severely injured, 0 people slightly injured at 5627 WESTMINSTER FACE /  2013-03-17 19:34	people severely injured	1
#FEE0D2	21	1	2013-03-21 1	  1 people slightly injured at  ST ANTOINE / GEORGES VANIER 2013-03-21 13:35	people slightly injured	1
#FEE0D2	21	2	2013-03-21 2	  1 people slightly injured at 380 SHERBROOKE O /  2013-03-21 20:50	people slightly injured	1
#FEE0D2	21	3	2013-03-21 3	  1 people slightly injured at 4780  / BREBEUF 2013-03-21 16:44	people slightly injured	1
#FEE0D2	22	1	2013-03-22 1	  1 people slightly injured at 3840 ST URBAIN /  2013-03-22 9:30	people slightly injured	1
#FEE0D2	25	1	2013-03-25 1	  1 people slightly injured at  MACRAY / DE MAISONNEUVE 2013-03-25 10:10	people slightly injured	1
#A50F15	25	2	2013-03-25 2	1 death,  0 people slightly injured at  2E RUE E / 9E AV E 2013-03-25 13:50	deaths	1
#FEE0D2	26	1	2013-03-26 1	  1 people slightly injured at  CHAMBLY / LA FONTAINE 2013-03-26 8:35	people slightly injured	1
#FEE0D2	26	2	2013-03-26 2	  1 people slightly injured at  COTE LAFLECHE / DES FORGES 2013-03-26 14:38	people slightly injured	1
#FEE0D2	26	3	2013-03-26 3	  1 people slightly injured at 215 LAFONTAINE / FACE AU 2013-03-26 14:10	people slightly injured	1
#FEE0D2	27	1	2013-03-27 1	  1 people slightly injured at 4070 ST DENIS /  2013-03-27 23:00	people slightly injured	1
#FEE0D2	27	2	2013-03-27 2	  1 people slightly injured at 4292 LAVAL / MARIE ANNE 2013-03-27 22:20	people slightly injured	1
#FEE0D2	28	1	2013-03-28 1	  1 people slightly injured at  ST LAURENT / ST JOSEPH 2013-03-28 0:27	people slightly injured	1
#FEE0D2	28	2	2013-03-28 2	  1 people slightly injured at  CURE POIRIER O / JOLIETTE 2013-03-28 8:02	people slightly injured	1
#FEE0D2	28	3	2013-03-28 3	  1 people slightly injured at 1159 ST VALLIER O /  2013-03-28 8:56	people slightly injured	1
#FEE0D2	28	4	2013-03-28 4	  1 people slightly injured at  PLANTE / BEAUCAGE 2013-03-28 23:50	people slightly injured	1
#FEE0D2	29	1	2013-03-29 1	  1 people slightly injured at 263 DE L EGLISE / ST DENIS 2013-03-29 13:20	people slightly injured	1
#FEE0D2	30	1	2013-03-30 1	  1 people slightly injured at 1555 TALBOT /  2013-03-30 13:10	people slightly injured	1
#FEE0D2	30	2	2013-03-30 2	  1 people slightly injured at  DES PLATANES / TAGETES 2013-03-30 19:05	people slightly injured	1
#FEE0D2	31	1	2013-03-31 1	  1 people slightly injured at 3515 QUEEN /  2013-03-31 14:35	people slightly injured	1
