fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	2	1	2012-01-02 1	  1 people slightly injured at  ST JEAN BAPTISTE O / AV ROULEAU 2012-01-02 18:35	people slightly injured	1
#FEE0D2	5	1	2012-01-05 1	  1 people slightly injured at  FOSTER / JANELLE 2012-01-05 21:50	people slightly injured	1
#FEE0D2	9	1	2012-01-09 1	  1 people slightly injured at  ROSEMONT / DES ERABLES 2012-01-09 21:15	people slightly injured	1
#FEE0D2	10	1	2012-01-10 1	  1 people slightly injured at  ST ANTOINE / MANSFIELD 2012-01-10 15:40	people slightly injured	1
#FEE0D2	10	2	2012-01-10 2	  1 people slightly injured at  TASCHEREAU / ANGELE 2012-01-10 0:15	people slightly injured	1
#FEE0D2	12	1	2012-01-12 1	  1 people slightly injured at 2330 HERRON / LAKE 2012-01-12 15:08	people slightly injured	1
#FEE0D2	12	2	2012-01-12 2	  1 people slightly injured at   / ST HUBERT ET MARIE ANNE 2012-01-12 23:27	people slightly injured	1
#A50F15	16	1	2012-01-16 1	1 death,  0 people slightly injured at  CHRISTOPHE COLOMB / ST ZOTIQUE 2012-01-16 18:59	deaths	1
#FEE0D2	21	1	2012-01-21 1	  1 people slightly injured at 4160 PARC LAFONTAINE / RACHEL 2012-01-21 0:18	people slightly injured	1
#FEE0D2	25	1	2012-01-25 1	  1 people slightly injured at  MARTEL / BOURGOGNE 2012-01-25 6:54	people slightly injured	1
#FEE0D2	26	1	2012-01-26 1	  1 people slightly injured at  ISABELLE / RIEL 2012-01-26 8:50	people slightly injured	1
